任务编号,任务类型,到达小时,图形处理器需求量,连续执行时长,延时敏感性,来源区域,最大网络时延,最晚完成小时,最早开工小时,执行模式,连续执行时长_小时
26373,实时推理任务,256,2,359,高,区域C,20,262,256,不可抢占,5.983333333333333
26374,批量推理任务,435,21,64,中,区域E,80,2406,435,不可抢占,1.0666666666666667
26375,人工智能训练任务,305,28,279,低,区域F,150,2406,305,不可抢占,4.65
26376,人工智能训练任务,988,18,354,低,区域C,150,2406,988,不可抢占,5.9
26377,批量推理任务,2376,17,386,中,区域B,80,2406,2376,不可抢占,6.433333333333334
26378,实时推理任务,107,3,178,高,区域B,20,110,107,不可抢占,2.966666666666667
26379,批量推理任务,1802,11,157,中,区域D,80,2406,1802,不可抢占,2.6166666666666667
26380,人工智能训练任务,197,36,357,低,区域F,150,2406,197,不可抢占,5.95
26381,批量推理任务,1770,18,53,中,区域F,80,2406,1770,不可抢占,0.8833333333333333
26382,人工智能训练任务,1250,125,98,低,区域B,150,2406,1250,不可抢占,1.6333333333333333
26383,批量推理任务,1072,5,97,中,区域B,80,2406,1072,不可抢占,1.6166666666666667
26384,实时推理任务,1421,1,99,高,区域B,20,1423,1421,不可抢占,1.65
26385,人工智能训练任务,2237,79,178,低,区域E,150,2406,2237,不可抢占,2.966666666666667
26386,实时推理任务,1345,3,157,高,区域C,20,1348,1345,不可抢占,2.6166666666666667
26387,实时推理任务,912,3,393,高,区域C,20,919,912,不可抢占,6.55
26388,人工智能训练任务,1044,19,11,低,区域F,150,2406,1044,不可抢占,0.18333333333333332
26389,实时推理任务,2025,2,376,高,区域A,20,2032,2025,不可抢占,6.266666666666667
26390,人工智能训练任务,2312,102,254,低,区域D,150,2406,2312,不可抢占,4.233333333333333
26391,实时推理任务,297,5,356,高,区域B,20,303,297,不可抢占,5.933333333333334
26392,人工智能训练任务,657,67,218,低,区域E,150,2406,657,不可抢占,3.6333333333333333
26393,批量推理任务,2190,18,124,中,区域D,80,2406,2190,不可抢占,2.066666666666667
26394,人工智能训练任务,222,46,301,低,区域F,150,2406,222,不可抢占,5.016666666666667
26395,实时推理任务,2050,1,200,高,区域A,20,2054,2050,不可抢占,3.3333333333333335
26396,批量推理任务,204,16,27,中,区域A,80,2406,204,不可抢占,0.45
26397,人工智能训练任务,1731,96,117,低,区域D,150,2406,1731,不可抢占,1.95
26398,人工智能训练任务,297,54,35,低,区域D,150,2406,297,不可抢占,0.5833333333333334
26399,批量推理任务,1262,19,366,中,区域D,80,2406,1262,不可抢占,6.1
26400,实时推理任务,1756,3,382,高,区域C,20,1763,1756,不可抢占,6.366666666666666
26401,人工智能训练任务,1747,73,232,低,区域F,150,2406,1747,不可抢占,3.8666666666666667
26402,人工智能训练任务,1592,119,209,低,区域C,150,2406,1592,不可抢占,3.4833333333333334
26403,实时推理任务,421,7,376,高,区域A,20,428,421,不可抢占,6.266666666666667
26404,批量推理任务,1911,22,176,中,区域C,80,2406,1911,不可抢占,2.933333333333333
26405,人工智能训练任务,623,111,288,低,区域E,150,2406,623,不可抢占,4.8
26406,人工智能训练任务,1139,69,152,低,区域E,150,2406,1139,不可抢占,2.533333333333333
26407,实时推理任务,8,2,239,高,区域C,20,12,8,不可抢占,3.9833333333333334
26408,批量推理任务,1920,9,74,中,区域A,80,2406,1920,不可抢占,1.2333333333333334
26409,实时推理任务,2281,6,126,高,区域A,20,2284,2281,不可抢占,2.1
26410,实时推理任务,1402,7,30,高,区域A,20,1403,1402,不可抢占,0.5
26411,人工智能训练任务,2125,72,38,低,区域D,150,2406,2125,不可抢占,0.6333333333333333
26412,人工智能训练任务,1411,65,43,低,区域E,150,2406,1411,不可抢占,0.7166666666666667
26413,人工智能训练任务,629,96,63,低,区域F,150,2406,629,不可抢占,1.05
26414,批量推理任务,47,7,360,中,区域F,80,2406,47,不可抢占,6
26415,批量推理任务,1964,21,38,中,区域A,80,2406,1964,不可抢占,0.6333333333333333
26416,批量推理任务,1320,15,88,中,区域B,80,2406,1320,不可抢占,1.4666666666666666
26417,人工智能训练任务,1983,114,244,低,区域D,150,2406,1983,不可抢占,4.066666666666666
26418,实时推理任务,1166,4,368,高,区域B,20,1173,1166,不可抢占,6.133333333333334
26419,实时推理任务,137,2,95,高,区域C,20,139,137,不可抢占,1.5833333333333333
26420,实时推理任务,240,6,332,高,区域C,20,246,240,不可抢占,5.533333333333333
26421,实时推理任务,342,5,151,高,区域A,20,345,342,不可抢占,2.5166666666666666
26422,批量推理任务,264,18,354,中,区域A,80,2406,264,不可抢占,5.9
26423,人工智能训练任务,2129,70,220,低,区域D,150,2406,2129,不可抢占,3.6666666666666665
26424,批量推理任务,378,15,151,中,区域C,80,2406,378,不可抢占,2.5166666666666666
26425,批量推理任务,1423,18,188,中,区域D,80,2406,1423,不可抢占,3.1333333333333333
26426,人工智能训练任务,2287,29,342,低,区域F,150,2406,2287,不可抢占,5.7
26427,人工智能训练任务,1782,115,330,低,区域F,150,2406,1782,不可抢占,5.5
26428,实时推理任务,623,5,205,高,区域A,20,627,623,不可抢占,3.4166666666666665
26429,人工智能训练任务,1270,31,252,低,区域D,150,2406,1270,不可抢占,4.2
26430,人工智能训练任务,1244,111,121,低,区域D,150,2406,1244,不可抢占,2.0166666666666666
26431,人工智能训练任务,1917,86,350,低,区域E,150,2406,1917,不可抢占,5.833333333333333
26432,批量推理任务,1081,23,38,中,区域D,80,2406,1081,不可抢占,0.6333333333333333
26433,人工智能训练任务,411,39,244,低,区域F,150,2406,411,不可抢占,4.066666666666666
26434,人工智能训练任务,1107,104,260,低,区域F,150,2406,1107,不可抢占,4.333333333333333
26435,人工智能训练任务,1418,36,181,低,区域C,150,2406,1418,不可抢占,3.0166666666666666
26436,人工智能训练任务,867,113,51,低,区域D,150,2406,867,不可抢占,0.85
26437,实时推理任务,1486,1,199,高,区域B,20,1490,1486,不可抢占,3.316666666666667
26438,实时推理任务,2345,2,293,高,区域B,20,2350,2345,不可抢占,4.883333333333334
26439,实时推理任务,338,4,365,高,区域C,20,345,338,不可抢占,6.083333333333333
26440,实时推理任务,558,1,232,高,区域D,20,562,558,不可抢占,3.8666666666666667
26441,批量推理任务,951,20,353,中,区域A,80,2406,951,不可抢占,5.883333333333334
26442,实时推理任务,1074,7,342,高,区域A,20,1080,1074,不可抢占,5.7
26443,人工智能训练任务,548,100,193,低,区域D,150,2406,548,不可抢占,3.216666666666667
26444,实时推理任务,1814,6,117,高,区域B,20,1816,1814,不可抢占,1.95
26445,批量推理任务,1939,15,43,中,区域D,80,2406,1939,不可抢占,0.7166666666666667
26446,实时推理任务,2177,7,254,高,区域C,20,2182,2177,不可抢占,4.233333333333333
26447,批量推理任务,2364,7,151,中,区域F,80,2406,2364,不可抢占,2.5166666666666666
26448,批量推理任务,677,4,389,中,区域A,80,2406,677,不可抢占,6.483333333333333
26449,批量推理任务,2073,21,244,中,区域B,80,2406,2073,不可抢占,4.066666666666666
26450,实时推理任务,961,7,102,高,区域B,20,963,961,不可抢占,1.7
26451,人工智能训练任务,1476,89,251,低,区域E,150,2406,1476,不可抢占,4.183333333333334
26452,人工智能训练任务,1518,112,109,低,区域E,150,2406,1518,不可抢占,1.8166666666666667
26453,批量推理任务,813,7,363,中,区域F,80,2406,813,不可抢占,6.05
26454,人工智能训练任务,1139,116,39,低,区域A,150,2406,1139,不可抢占,0.65
26455,批量推理任务,2204,22,222,中,区域A,80,2406,2204,不可抢占,3.7
26456,实时推理任务,374,5,265,高,区域A,20,379,374,不可抢占,4.416666666666667
26457,实时推理任务,2140,4,366,高,区域B,20,2147,2140,不可抢占,6.1
26458,人工智能训练任务,17,74,104,低,区域E,150,2406,17,不可抢占,1.7333333333333334
26459,实时推理任务,494,7,225,高,区域C,20,498,494,不可抢占,3.75
26460,批量推理任务,1388,21,294,中,区域F,80,2406,1388,不可抢占,4.9
26461,批量推理任务,1660,22,277,中,区域A,80,2406,1660,不可抢占,4.616666666666666
26462,人工智能训练任务,1132,108,80,低,区域D,150,2406,1132,不可抢占,1.3333333333333333
26463,实时推理任务,1518,4,222,高,区域B,20,1522,1518,不可抢占,3.7
26464,实时推理任务,863,4,346,高,区域B,20,869,863,不可抢占,5.766666666666667
26465,人工智能训练任务,2235,43,81,低,区域E,150,2406,2235,不可抢占,1.35
26466,批量推理任务,1509,17,291,中,区域E,80,2406,1509,不可抢占,4.85
26467,实时推理任务,643,6,121,高,区域A,20,646,643,不可抢占,2.0166666666666666
26468,实时推理任务,1927,7,391,高,区域A,20,1934,1927,不可抢占,6.516666666666667
26469,批量推理任务,57,10,14,中,区域B,80,2406,57,不可抢占,0.23333333333333334
26470,人工智能训练任务,883,28,252,低,区域D,150,2406,883,不可抢占,4.2
26471,人工智能训练任务,2027,65,253,低,区域E,150,2406,2027,不可抢占,4.216666666666667
26472,实时推理任务,480,1,173,高,区域C,20,483,480,不可抢占,2.8833333333333333
26473,批量推理任务,1309,20,113,中,区域F,80,2406,1309,不可抢占,1.8833333333333333
26474,实时推理任务,1309,4,241,高,区域A,20,1314,1309,不可抢占,4.016666666666667
26475,实时推理任务,902,5,167,高,区域A,20,905,902,不可抢占,2.783333333333333
26476,实时推理任务,1141,7,287,高,区域B,20,1146,1141,不可抢占,4.783333333333333
26477,实时推理任务,1028,3,46,高,区域B,20,1029,1028,不可抢占,0.7666666666666667
26478,人工智能训练任务,592,114,198,低,区域E,150,2406,592,不可抢占,3.3
26479,实时推理任务,837,6,112,高,区域C,20,839,837,不可抢占,1.8666666666666667
26480,人工智能训练任务,1431,57,362,低,区域F,150,2406,1431,不可抢占,6.033333333333333
26481,人工智能训练任务,1976,64,146,低,区域D,150,2406,1976,不可抢占,2.433333333333333
26482,人工智能训练任务,1771,23,223,低,区域D,150,2406,1771,不可抢占,3.716666666666667
26483,批量推理任务,1790,20,250,中,区域C,80,2406,1790,不可抢占,4.166666666666667
26484,实时推理任务,2259,6,57,高,区域B,20,2260,2259,不可抢占,0.95
26485,实时推理任务,2010,6,110,高,区域C,20,2012,2010,不可抢占,1.8333333333333333
26486,实时推理任务,912,2,137,高,区域D,20,915,912,不可抢占,2.283333333333333
26487,批量推理任务,77,16,68,中,区域A,80,2406,77,不可抢占,1.1333333333333333
26488,实时推理任务,1721,5,298,高,区域A,20,1726,1721,不可抢占,4.966666666666667
26489,人工智能训练任务,1060,68,131,低,区域D,150,2406,1060,不可抢占,2.183333333333333
26490,人工智能训练任务,1334,106,222,低,区域E,150,2406,1334,不可抢占,3.7
26491,批量推理任务,2143,8,235,中,区域D,80,2406,2143,不可抢占,3.9166666666666665
26492,实时推理任务,1248,3,386,高,区域C,20,1255,1248,不可抢占,6.433333333333334
26493,人工智能训练任务,699,76,249,低,区域F,150,2406,699,不可抢占,4.15
26494,人工智能训练任务,1198,18,269,低,区域C,150,2406,1198,不可抢占,4.483333333333333
26495,实时推理任务,1949,5,368,高,区域A,20,1956,1949,不可抢占,6.133333333333334
26496,人工智能训练任务,2216,86,175,低,区域D,150,2406,2216,不可抢占,2.9166666666666665
26497,实时推理任务,2127,4,15,高,区域B,20,2128,2127,不可抢占,0.25
26498,批量推理任务,766,10,36,中,区域D,80,2406,766,不可抢占,0.6
26499,批量推理任务,1422,10,284,中,区域F,80,2406,1422,不可抢占,4.733333333333333
26500,人工智能训练任务,1805,111,98,低,区域A,150,2406,1805,不可抢占,1.6333333333333333
26501,人工智能训练任务,736,39,341,低,区域D,150,2406,736,不可抢占,5.683333333333334
26502,人工智能训练任务,775,109,207,低,区域D,150,2406,775,不可抢占,3.45
26503,人工智能训练任务,1850,45,216,低,区域E,150,2406,1850,不可抢占,3.6
26504,实时推理任务,1752,5,380,高,区域C,20,1759,1752,不可抢占,6.333333333333333
26505,实时推理任务,1479,6,246,高,区域C,20,1484,1479,不可抢占,4.1
26506,人工智能训练任务,1896,20,89,低,区域F,150,2406,1896,不可抢占,1.4833333333333334
26507,人工智能训练任务,891,118,133,低,区域C,150,2406,891,不可抢占,2.216666666666667
26508,批量推理任务,79,9,26,中,区域B,80,2406,79,不可抢占,0.43333333333333335
26509,人工智能训练任务,247,46,143,低,区域D,150,2406,247,不可抢占,2.3833333333333333
26510,批量推理任务,1442,9,102,中,区域D,80,2406,1442,不可抢占,1.7
26511,人工智能训练任务,544,88,147,低,区域E,150,2406,544,不可抢占,2.45
26512,人工智能训练任务,556,39,177,低,区域F,150,2406,556,不可抢占,2.95
26513,批量推理任务,588,5,298,中,区域A,80,2406,588,不可抢占,4.966666666666667
26514,实时推理任务,338,6,64,高,区域A,20,340,338,不可抢占,1.0666666666666667
26515,批量推理任务,1884,8,370,中,区域B,80,2406,1884,不可抢占,6.166666666666667
26516,批量推理任务,82,23,399,中,区域C,80,2406,82,不可抢占,6.65
26517,实时推理任务,345,1,237,高,区域B,20,349,345,不可抢占,3.95
26518,批量推理任务,810,23,209,中,区域E,80,2406,810,不可抢占,3.4833333333333334
26519,实时推理任务,1840,3,351,高,区域E,20,1846,1840,不可抢占,5.85
26520,人工智能训练任务,100,66,198,低,区域B,150,2406,100,不可抢占,3.3
26521,实时推理任务,1231,4,220,高,区域A,20,1235,1231,不可抢占,3.6666666666666665
26522,实时推理任务,1169,1,34,高,区域B,20,1170,1169,不可抢占,0.5666666666666667
26523,批量推理任务,1952,18,368,中,区域D,80,2406,1952,不可抢占,6.133333333333334
26524,批量推理任务,1555,5,369,中,区域D,80,2406,1555,不可抢占,6.15
26525,人工智能训练任务,2231,110,120,低,区域F,150,2406,2231,不可抢占,2
26526,人工智能训练任务,1726,69,215,低,区域A,150,2406,1726,不可抢占,3.5833333333333335
26527,实时推理任务,1997,7,285,高,区域A,20,2002,1997,不可抢占,4.75
26528,实时推理任务,968,1,392,高,区域A,20,975,968,不可抢占,6.533333333333333
26529,批量推理任务,2200,23,63,中,区域C,80,2406,2200,不可抢占,1.05
26530,批量推理任务,32,8,149,中,区域D,80,2406,32,不可抢占,2.4833333333333334
26531,人工智能训练任务,127,17,233,低,区域F,150,2406,127,不可抢占,3.8833333333333333
26532,人工智能训练任务,1363,84,360,低,区域F,150,2406,1363,不可抢占,6
26533,实时推理任务,2072,6,130,高,区域A,20,2075,2072,不可抢占,2.1666666666666665
26534,实时推理任务,2210,4,318,高,区域A,20,2216,2210,不可抢占,5.3
26535,人工智能训练任务,2255,34,197,低,区域D,150,2406,2255,不可抢占,3.283333333333333
26536,人工智能训练任务,308,96,109,低,区域E,150,2406,308,不可抢占,1.8166666666666667
26537,实时推理任务,614,1,166,高,区域C,20,617,614,不可抢占,2.7666666666666666
26538,人工智能训练任务,913,89,194,低,区域F,150,2406,913,不可抢占,3.2333333333333334
26539,人工智能训练任务,1598,88,315,低,区域F,150,2406,1598,不可抢占,5.25
26540,批量推理任务,1855,14,251,中,区域A,80,2406,1855,不可抢占,4.183333333333334
26541,人工智能训练任务,1489,66,189,低,区域D,150,2406,1489,不可抢占,3.15
26542,实时推理任务,1993,3,378,高,区域B,20,2000,1993,不可抢占,6.3
26543,批量推理任务,1105,18,217,中,区域D,80,2406,1105,不可抢占,3.6166666666666667
26544,批量推理任务,1360,20,16,中,区域E,80,2406,1360,不可抢占,0.26666666666666666
26545,实时推理任务,649,7,40,高,区域D,20,650,649,不可抢占,0.6666666666666666
26546,人工智能训练任务,1342,19,16,低,区域B,150,2406,1342,不可抢占,0.26666666666666666
26547,批量推理任务,633,14,396,中,区域B,80,2406,633,不可抢占,6.6
26548,实时推理任务,627,1,298,高,区域B,20,632,627,不可抢占,4.966666666666667
26549,实时推理任务,2218,7,391,高,区域B,20,2225,2218,不可抢占,6.516666666666667
26550,人工智能训练任务,841,53,390,低,区域E,150,2406,841,不可抢占,6.5
26551,批量推理任务,1670,7,110,中,区域E,80,2406,1670,不可抢占,1.8333333333333333
26552,批量推理任务,1101,14,90,中,区域F,80,2406,1101,不可抢占,1.5
26553,实时推理任务,2317,6,343,高,区域A,20,2323,2317,不可抢占,5.716666666666667
26554,人工智能训练任务,1583,76,15,低,区域D,150,2406,1583,不可抢占,0.25
26555,实时推理任务,858,7,30,高,区域B,20,859,858,不可抢占,0.5
26556,人工智能训练任务,232,82,149,低,区域E,150,2406,232,不可抢占,2.4833333333333334
26557,批量推理任务,307,4,244,中,区域D,80,2406,307,不可抢占,4.066666666666666
26558,人工智能训练任务,1540,55,91,低,区域F,150,2406,1540,不可抢占,1.5166666666666666
26559,实时推理任务,1771,6,364,高,区域A,20,1778,1771,不可抢占,6.066666666666666
26560,人工智能训练任务,829,115,244,低,区域D,150,2406,829,不可抢占,4.066666666666666
26561,人工智能训练任务,1077,50,348,低,区域D,150,2406,1077,不可抢占,5.8
26562,批量推理任务,304,9,356,中,区域C,80,2406,304,不可抢占,5.933333333333334
26563,实时推理任务,1574,3,109,高,区域C,20,1576,1574,不可抢占,1.8166666666666667
26564,人工智能训练任务,2167,74,203,低,区域F,150,2406,2167,不可抢占,3.3833333333333333
26565,实时推理任务,2124,1,216,高,区域E,20,2128,2124,不可抢占,3.6
26566,人工智能训练任务,622,116,309,低,区域C,150,2406,622,不可抢占,5.15
26567,人工智能训练任务,577,79,248,低,区域D,150,2406,577,不可抢占,4.133333333333334
26568,实时推理任务,1561,4,234,高,区域B,20,1565,1561,不可抢占,3.9
26569,实时推理任务,2384,5,66,高,区域B,20,2386,2384,不可抢占,1.1
26570,人工智能训练任务,1547,43,33,低,区域E,150,2406,1547,不可抢占,0.55
26571,实时推理任务,1253,3,200,高,区域C,20,1257,1253,不可抢占,3.3333333333333335
26572,人工智能训练任务,759,37,43,低,区域A,150,2406,759,不可抢占,0.7166666666666667
26573,批量推理任务,2076,8,344,中,区域A,80,2406,2076,不可抢占,5.733333333333333
26574,批量推理任务,2029,5,308,中,区域B,80,2406,2029,不可抢占,5.133333333333334
26575,实时推理任务,234,6,30,高,区域B,20,235,234,不可抢占,0.5
26576,实时推理任务,1726,4,336,高,区域B,20,1732,1726,不可抢占,5.6
26577,人工智能训练任务,780,95,16,低,区域F,150,2406,780,不可抢占,0.26666666666666666
26578,人工智能训练任务,51,56,199,低,区域F,150,2406,51,不可抢占,3.316666666666667
26579,批量推理任务,1542,4,356,中,区域A,80,2406,1542,不可抢占,5.933333333333334
26580,人工智能训练任务,1364,43,193,低,区域D,150,2406,1364,不可抢占,3.216666666666667
26581,人工智能训练任务,1700,33,187,低,区域D,150,2406,1700,不可抢占,3.1166666666666667
26582,实时推理任务,1294,7,136,高,区域B,20,1297,1294,不可抢占,2.2666666666666666
26583,人工智能训练任务,141,60,371,低,区域E,150,2406,141,不可抢占,6.183333333333334
26584,人工智能训练任务,2380,125,64,低,区域F,150,2406,2380,不可抢占,1.0666666666666667
26585,批量推理任务,1229,9,24,中,区域A,80,2406,1229,不可抢占,0.4
26586,实时推理任务,574,5,260,高,区域A,20,579,574,不可抢占,4.333333333333333
26587,实时推理任务,1307,3,117,高,区域A,20,1309,1307,不可抢占,1.95
26588,实时推理任务,2240,6,390,高,区域B,20,2247,2240,不可抢占,6.5
26589,人工智能训练任务,2237,19,229,低,区域E,150,2406,2237,不可抢占,3.816666666666667
26590,人工智能训练任务,2385,27,295,低,区域F,150,2406,2385,不可抢占,4.916666666666667
26591,人工智能训练任务,6,24,345,低,区域F,150,2406,6,不可抢占,5.75
26592,人工智能训练任务,2246,45,119,低,区域B,150,2406,2246,不可抢占,1.9833333333333334
26593,人工智能训练任务,2125,60,341,低,区域D,150,2406,2125,不可抢占,5.683333333333334
26594,批量推理任务,127,8,204,中,区域B,80,2406,127,不可抢占,3.4
26595,人工智能训练任务,280,81,267,低,区域E,150,2406,280,不可抢占,4.45
26596,实时推理任务,14,2,108,高,区域C,20,16,14,不可抢占,1.8
26597,批量推理任务,407,7,126,中,区域E,80,2406,407,不可抢占,2.1
26598,批量推理任务,714,7,399,中,区域F,80,2406,714,不可抢占,6.65
26599,实时推理任务,1639,6,134,高,区域A,20,1642,1639,不可抢占,2.2333333333333334
26600,实时推理任务,1001,1,373,高,区域A,20,1008,1001,不可抢占,6.216666666666667
26601,批量推理任务,2094,22,180,中,区域C,80,2406,2094,不可抢占,3
26602,实时推理任务,2079,6,361,高,区域B,20,2086,2079,不可抢占,6.016666666666667
26603,人工智能训练任务,1366,107,360,低,区域F,150,2406,1366,不可抢占,6
26604,人工智能训练任务,2070,76,150,低,区域F,150,2406,2070,不可抢占,2.5
26605,批量推理任务,1069,13,243,中,区域A,80,2406,1069,不可抢占,4.05
26606,批量推理任务,857,21,374,中,区域B,80,2406,857,不可抢占,6.233333333333333
26607,批量推理任务,550,10,122,中,区域B,80,2406,550,不可抢占,2.033333333333333
26608,实时推理任务,812,1,57,高,区域B,20,813,812,不可抢占,0.95
26609,实时推理任务,1767,7,173,高,区域C,20,1770,1767,不可抢占,2.8833333333333333
26610,人工智能训练任务,2024,102,182,低,区域F,150,2406,2024,不可抢占,3.033333333333333
26611,批量推理任务,1706,13,154,中,区域F,80,2406,1706,不可抢占,2.566666666666667
26612,实时推理任务,2289,2,42,高,区域A,20,2290,2289,不可抢占,0.7
26613,实时推理任务,297,1,203,高,区域A,20,301,297,不可抢占,3.3833333333333333
26614,人工智能训练任务,310,31,138,低,区域D,150,2406,310,不可抢占,2.3
26615,人工智能训练任务,2065,50,180,低,区域E,150,2406,2065,不可抢占,3
26616,实时推理任务,1246,1,84,高,区域C,20,1248,1246,不可抢占,1.4
26617,实时推理任务,2099,6,240,高,区域C,20,2103,2099,不可抢占,4
26618,批量推理任务,985,16,192,中,区域A,80,2406,985,不可抢占,3.2
26619,实时推理任务,1920,1,259,高,区域A,20,1925,1920,不可抢占,4.316666666666666
26620,人工智能训练任务,1999,126,81,低,区域D,150,2406,1999,不可抢占,1.35
26621,批量推理任务,1539,23,164,中,区域C,80,2406,1539,不可抢占,2.7333333333333334
26622,人工智能训练任务,1070,79,204,低,区域E,150,2406,1070,不可抢占,3.4
26623,实时推理任务,480,2,218,高,区域C,20,484,480,不可抢占,3.6333333333333333
26624,人工智能训练任务,497,45,343,低,区域F,150,2406,497,不可抢占,5.716666666666667
26625,人工智能训练任务,134,45,262,低,区域C,150,2406,134,不可抢占,4.366666666666666
26626,实时推理任务,2152,4,111,高,区域A,20,2154,2152,不可抢占,1.85
26627,人工智能训练任务,1935,24,361,低,区域D,150,2406,1935,不可抢占,6.016666666666667
26628,批量推理任务,1895,7,202,中,区域D,80,2406,1895,不可抢占,3.3666666666666667
26629,实时推理任务,374,1,30,高,区域C,20,375,374,不可抢占,0.5
26630,人工智能训练任务,935,93,66,低,区域F,150,2406,935,不可抢占,1.1
26631,实时推理任务,503,7,313,高,区域A,20,509,503,不可抢占,5.216666666666667
26632,实时推理任务,1582,6,98,高,区域A,20,1584,1582,不可抢占,1.6333333333333333
26633,批量推理任务,1805,19,84,中,区域B,80,2406,1805,不可抢占,1.4
26634,批量推理任务,1587,19,314,中,区域C,80,2406,1587,不可抢占,5.233333333333333
26635,实时推理任务,889,4,226,高,区域B,20,893,889,不可抢占,3.7666666666666666
26636,实时推理任务,537,4,28,高,区域C,20,538,537,不可抢占,0.4666666666666667
26637,人工智能训练任务,870,43,371,低,区域F,150,2406,870,不可抢占,6.183333333333334
26638,实时推理任务,544,1,386,高,区域A,20,551,544,不可抢占,6.433333333333334
26639,实时推理任务,2004,4,344,高,区域A,20,2010,2004,不可抢占,5.733333333333333
26640,人工智能训练任务,464,111,289,低,区域D,150,2406,464,不可抢占,4.816666666666666
26641,批量推理任务,69,13,167,中,区域C,80,2406,69,不可抢占,2.783333333333333
26642,批量推理任务,727,12,234,中,区域D,80,2406,727,不可抢占,3.9
26643,人工智能训练任务,1001,60,127,低,区域F,150,2406,1001,不可抢占,2.1166666666666667
26644,实时推理任务,2023,4,368,高,区域A,20,2030,2023,不可抢占,6.133333333333334
26645,批量推理任务,2154,9,141,中,区域A,80,2406,2154,不可抢占,2.35
26646,人工智能训练任务,2258,107,296,低,区域D,150,2406,2258,不可抢占,4.933333333333334
26647,实时推理任务,325,3,269,高,区域B,20,330,325,不可抢占,4.483333333333333
26648,人工智能训练任务,1300,94,42,低,区域E,150,2406,1300,不可抢占,0.7
26649,人工智能训练任务,683,33,169,低,区域F,150,2406,683,不可抢占,2.816666666666667
26650,实时推理任务,1697,5,170,高,区域D,20,1700,1697,不可抢占,2.8333333333333335
26651,实时推理任务,99,2,328,高,区域A,20,105,99,不可抢占,5.466666666666667
26652,批量推理任务,476,17,61,中,区域B,80,2406,476,不可抢占,1.0166666666666666
26653,批量推理任务,1409,23,115,中,区域B,80,2406,1409,不可抢占,1.9166666666666667
26654,实时推理任务,1857,2,218,高,区域B,20,1861,1857,不可抢占,3.6333333333333333
26655,实时推理任务,1623,3,232,高,区域C,20,1627,1623,不可抢占,3.8666666666666667
26656,实时推理任务,2266,3,334,高,区域C,20,2272,2266,不可抢占,5.566666666666666
26657,人工智能训练任务,421,17,53,低,区域F,150,2406,421,不可抢占,0.8833333333333333
26658,实时推理任务,2354,6,253,高,区域A,20,2359,2354,不可抢占,4.216666666666667
26659,批量推理任务,922,18,191,中,区域B,80,2406,922,不可抢占,3.183333333333333
26660,实时推理任务,174,7,71,高,区域B,20,176,174,不可抢占,1.1833333333333333
26661,实时推理任务,284,6,260,高,区域B,20,289,284,不可抢占,4.333333333333333
26662,批量推理任务,740,10,33,中,区域D,80,2406,740,不可抢占,0.55
26663,批量推理任务,263,9,255,中,区域F,80,2406,263,不可抢占,4.25
26664,实时推理任务,1625,2,31,高,区域A,20,1626,1625,不可抢占,0.5166666666666667
26665,人工智能训练任务,695,48,55,低,区域D,150,2406,695,不可抢占,0.9166666666666666
26666,实时推理任务,798,2,114,高,区域B,20,800,798,不可抢占,1.9
26667,人工智能训练任务,73,57,94,低,区域E,150,2406,73,不可抢占,1.5666666666666667
26668,实时推理任务,881,5,22,高,区域C,20,882,881,不可抢占,0.36666666666666664
26669,人工智能训练任务,1838,69,300,低,区域F,150,2406,1838,不可抢占,5
26670,实时推理任务,723,3,22,高,区域E,20,724,723,不可抢占,0.36666666666666664
26671,实时推理任务,2317,6,382,高,区域A,20,2324,2317,不可抢占,6.366666666666666
26672,人工智能训练任务,2293,107,178,低,区域D,150,2406,2293,不可抢占,2.966666666666667
26673,实时推理任务,1276,7,130,高,区域B,20,1279,1276,不可抢占,2.1666666666666665
26674,实时推理任务,306,6,108,高,区域B,20,308,306,不可抢占,1.8
26675,批量推理任务,1589,6,244,中,区域D,80,2406,1589,不可抢占,4.066666666666666
26676,人工智能训练任务,1587,73,190,低,区域F,150,2406,1587,不可抢占,3.1666666666666665
26677,实时推理任务,967,5,385,高,区域A,20,974,967,不可抢占,6.416666666666667
26678,批量推理任务,146,22,155,中,区域A,80,2406,146,不可抢占,2.5833333333333335
26679,批量推理任务,2028,7,311,中,区域B,80,2406,2028,不可抢占,5.183333333333334
26680,实时推理任务,2010,6,29,高,区域B,20,2011,2010,不可抢占,0.48333333333333334
26681,实时推理任务,148,5,369,高,区域B,20,155,148,不可抢占,6.15
26682,人工智能训练任务,1156,22,62,低,区域F,150,2406,1156,不可抢占,1.0333333333333334
26683,批量推理任务,198,12,213,中,区域F,80,2406,198,不可抢占,3.55
26684,人工智能训练任务,2340,23,200,低,区域B,150,2406,2340,不可抢占,3.3333333333333335
26685,人工智能训练任务,29,70,163,低,区域D,150,2406,29,不可抢占,2.716666666666667
26686,批量推理任务,838,22,35,中,区域C,80,2406,838,不可抢占,0.5833333333333334
26687,人工智能训练任务,1437,37,360,低,区域E,150,2406,1437,不可抢占,6
26688,实时推理任务,987,6,262,高,区域C,20,992,987,不可抢占,4.366666666666666
26689,实时推理任务,1484,7,154,高,区域C,20,1487,1484,不可抢占,2.566666666666667
26690,实时推理任务,458,1,304,高,区域A,20,464,458,不可抢占,5.066666666666666
