到达小时,任务类型,图形处理器总需求
1261,人工智能训练任务,582
1261,实时推理任务,8
1261,批量推理任务,147
1262,人工智能训练任务,320
1262,实时推理任务,29
1262,批量推理任务,160
1263,人工智能训练任务,536
1263,实时推理任务,29
1263,批量推理任务,115
1264,人工智能训练任务,412
1264,实时推理任务,14
1264,批量推理任务,83
1265,人工智能训练任务,585
1265,实时推理任务,11
1265,批量推理任务,20
1266,人工智能训练任务,550
1266,实时推理任务,25
1266,批量推理任务,77
1267,人工智能训练任务,525
1267,实时推理任务,24
1267,批量推理任务,104
1268,人工智能训练任务,392
1268,实时推理任务,57
1268,批量推理任务,108
1269,人工智能训练任务,221
1269,实时推理任务,29
1269,批量推理任务,48
1270,人工智能训练任务,692
1270,实时推理任务,28
1270,批量推理任务,140
1271,人工智能训练任务,829
1271,实时推理任务,39
1271,批量推理任务,53
1272,人工智能训练任务,128
1272,实时推理任务,39
1272,批量推理任务,75
1273,人工智能训练任务,478
1273,实时推理任务,9
1273,批量推理任务,146
1274,人工智能训练任务,432
1274,实时推理任务,29
1274,批量推理任务,43
1275,人工智能训练任务,251
1275,实时推理任务,31
1275,批量推理任务,71
1276,人工智能训练任务,486
1276,实时推理任务,25
1276,批量推理任务,134
1277,人工智能训练任务,439
1277,实时推理任务,25
1277,批量推理任务,164
1278,人工智能训练任务,688
1278,实时推理任务,29
1278,批量推理任务,101
1279,人工智能训练任务,598
1279,实时推理任务,14
1279,批量推理任务,65
1280,人工智能训练任务,264
1280,实时推理任务,5
1280,批量推理任务,82
1281,人工智能训练任务,829
1281,实时推理任务,21
1281,批量推理任务,82
1282,人工智能训练任务,846
1282,实时推理任务,46
1282,批量推理任务,122
1283,人工智能训练任务,508
1283,实时推理任务,33
1283,批量推理任务,60
1284,人工智能训练任务,593
1284,实时推理任务,22
1284,批量推理任务,142
1285,人工智能训练任务,578
1285,实时推理任务,14
1285,批量推理任务,22
1286,人工智能训练任务,214
1286,实时推理任务,32
1286,批量推理任务,94
1287,人工智能训练任务,493
1287,实时推理任务,26
1287,批量推理任务,59
1288,人工智能训练任务,499
1288,实时推理任务,25
1288,批量推理任务,120
1289,人工智能训练任务,267
1289,实时推理任务,20
1289,批量推理任务,105
1290,人工智能训练任务,362
1290,实时推理任务,26
1290,批量推理任务,51
1291,人工智能训练任务,366
1291,实时推理任务,31
1291,批量推理任务,111
1292,人工智能训练任务,109
1292,实时推理任务,24
1292,批量推理任务,78
1293,人工智能训练任务,472
1293,实时推理任务,19
1293,批量推理任务,58
1294,人工智能训练任务,108
1294,实时推理任务,52
1294,批量推理任务,100
1295,人工智能训练任务,608
1295,实时推理任务,29
1295,批量推理任务,106
1296,人工智能训练任务,235
1296,实时推理任务,20
1296,批量推理任务,161
1297,人工智能训练任务,334
1297,实时推理任务,44
1297,批量推理任务,85
1298,人工智能训练任务,1134
1298,实时推理任务,33
1298,批量推理任务,44
1299,人工智能训练任务,473
1299,实时推理任务,41
1299,批量推理任务,154
1300,人工智能训练任务,598
1300,实时推理任务,30
1300,批量推理任务,57
1301,人工智能训练任务,263
1301,实时推理任务,43
1301,批量推理任务,63
1302,人工智能训练任务,401
1302,实时推理任务,20
1302,批量推理任务,114
1303,人工智能训练任务,721
1303,实时推理任务,36
1303,批量推理任务,137
1304,人工智能训练任务,587
1304,实时推理任务,29
1304,批量推理任务,113
1305,人工智能训练任务,338
1305,实时推理任务,18
1305,批量推理任务,39
1306,人工智能训练任务,418
1306,实时推理任务,28
1306,批量推理任务,105
1307,人工智能训练任务,572
1307,实时推理任务,21
1307,批量推理任务,121
1308,人工智能训练任务,429
1308,实时推理任务,31
1308,批量推理任务,127
1309,人工智能训练任务,321
1309,实时推理任务,35
1309,批量推理任务,171
1310,人工智能训练任务,541
1310,实时推理任务,32
1310,批量推理任务,43
1311,人工智能训练任务,730
1311,实时推理任务,48
1311,批量推理任务,136
1312,人工智能训练任务,763
1312,实时推理任务,42
1312,批量推理任务,92
1313,人工智能训练任务,495
1313,实时推理任务,12
1313,批量推理任务,78
1314,人工智能训练任务,824
1314,实时推理任务,41
1314,批量推理任务,56
1315,人工智能训练任务,353
1315,实时推理任务,53
1315,批量推理任务,140
1316,人工智能训练任务,274
1316,实时推理任务,13
1316,批量推理任务,79
1317,人工智能训练任务,1004
1317,实时推理任务,39
1317,批量推理任务,145
1318,人工智能训练任务,369
1318,实时推理任务,45
1318,批量推理任务,88
1319,人工智能训练任务,716
1319,实时推理任务,41
1319,批量推理任务,93
1320,人工智能训练任务,195
1320,实时推理任务,17
1320,批量推理任务,86
1321,人工智能训练任务,625
1321,实时推理任务,20
1321,批量推理任务,95
1322,人工智能训练任务,353
1322,实时推理任务,22
1322,批量推理任务,107
1323,人工智能训练任务,433
1323,实时推理任务,3
1323,批量推理任务,100
1324,人工智能训练任务,685
1324,实时推理任务,31
1324,批量推理任务,101
1325,人工智能训练任务,230
1325,实时推理任务,44
1325,批量推理任务,121
1326,人工智能训练任务,320
1326,实时推理任务,36
1326,批量推理任务,43
1327,人工智能训练任务,524
1327,实时推理任务,28
1327,批量推理任务,81
1328,人工智能训练任务,344
1328,实时推理任务,47
1328,批量推理任务,71
1329,人工智能训练任务,732
1329,实时推理任务,24
1329,批量推理任务,11
1330,人工智能训练任务,465
1330,实时推理任务,31
1330,批量推理任务,65
1331,人工智能训练任务,775
1331,实时推理任务,8
1331,批量推理任务,50
1332,人工智能训练任务,638
1332,实时推理任务,35
1332,批量推理任务,68
1333,人工智能训练任务,498
1333,实时推理任务,21
1333,批量推理任务,28
1334,人工智能训练任务,558
1334,实时推理任务,8
1334,批量推理任务,59
1335,人工智能训练任务,194
1335,实时推理任务,46
1335,批量推理任务,151
1336,人工智能训练任务,151
1336,实时推理任务,42
1336,批量推理任务,81
1337,人工智能训练任务,354
1337,实时推理任务,27
1337,批量推理任务,130
1338,人工智能训练任务,466
1338,实时推理任务,29
1338,批量推理任务,63
1339,人工智能训练任务,592
1339,实时推理任务,25
1339,批量推理任务,30
1340,人工智能训练任务,654
1340,实时推理任务,43
1340,批量推理任务,125
1341,人工智能训练任务,414
1341,实时推理任务,44
1341,批量推理任务,64
1342,人工智能训练任务,443
1342,实时推理任务,47
1342,批量推理任务,143
1343,人工智能训练任务,196
1343,实时推理任务,25
1343,批量推理任务,127
1344,人工智能训练任务,791
1344,实时推理任务,31
1344,批量推理任务,92
1345,人工智能训练任务,484
1345,实时推理任务,19
1345,批量推理任务,81
1346,人工智能训练任务,676
1346,实时推理任务,15
1346,批量推理任务,31
1347,人工智能训练任务,270
1347,实时推理任务,5
1347,批量推理任务,105
1348,人工智能训练任务,386
1348,实时推理任务,37
1348,批量推理任务,58
1349,人工智能训练任务,282
1349,实时推理任务,17
1349,批量推理任务,98
1350,人工智能训练任务,818
1350,实时推理任务,34
1350,批量推理任务,71
1351,人工智能训练任务,320
1351,实时推理任务,39
1351,批量推理任务,31
1352,人工智能训练任务,308
1352,实时推理任务,43
1352,批量推理任务,86
1353,人工智能训练任务,548
1353,实时推理任务,48
1353,批量推理任务,107
1354,人工智能训练任务,566
1354,实时推理任务,15
1354,批量推理任务,156
1355,人工智能训练任务,539
1355,实时推理任务,16
1355,批量推理任务,109
1356,人工智能训练任务,737
1356,实时推理任务,39
1356,批量推理任务,86
1357,人工智能训练任务,745
1357,实时推理任务,42
1357,批量推理任务,112
1358,人工智能训练任务,419
1358,实时推理任务,25
1358,批量推理任务,91
1359,人工智能训练任务,659
1359,实时推理任务,33
1359,批量推理任务,66
1360,人工智能训练任务,471
1360,实时推理任务,29
1360,批量推理任务,109
1361,人工智能训练任务,375
1361,实时推理任务,21
1361,批量推理任务,111
1362,人工智能训练任务,339
1362,实时推理任务,38
1362,批量推理任务,86
1363,人工智能训练任务,393
1363,实时推理任务,38
1363,批量推理任务,109
1364,人工智能训练任务,532
1364,实时推理任务,21
1364,批量推理任务,64
1365,人工智能训练任务,435
1365,实时推理任务,27
1365,批量推理任务,50
1366,人工智能训练任务,592
1366,实时推理任务,29
1366,批量推理任务,87
1367,人工智能训练任务,583
1367,实时推理任务,34
1367,批量推理任务,31
1368,人工智能训练任务,573
1368,实时推理任务,23
1368,批量推理任务,75
1369,人工智能训练任务,538
1369,实时推理任务,55
1369,批量推理任务,70
1370,人工智能训练任务,675
1370,实时推理任务,22
1370,批量推理任务,77
1371,人工智能训练任务,1002
1371,实时推理任务,23
1371,批量推理任务,95
1372,人工智能训练任务,462
1372,实时推理任务,46
1372,批量推理任务,85
1373,人工智能训练任务,410
1373,实时推理任务,32
1373,批量推理任务,46
1374,人工智能训练任务,669
1374,实时推理任务,25
1374,批量推理任务,62
1375,人工智能训练任务,646
1375,实时推理任务,13
1375,批量推理任务,94
1376,人工智能训练任务,333
1376,实时推理任务,50
1376,批量推理任务,92
1377,人工智能训练任务,703
1377,实时推理任务,26
1377,批量推理任务,117
1378,人工智能训练任务,472
1378,实时推理任务,31
1378,批量推理任务,111
1379,人工智能训练任务,581
1379,实时推理任务,56
1379,批量推理任务,51
1380,人工智能训练任务,208
1380,实时推理任务,11
1380,批量推理任务,77
1381,人工智能训练任务,446
1381,实时推理任务,57
1381,批量推理任务,102
1382,人工智能训练任务,466
1382,实时推理任务,41
1382,批量推理任务,67
1383,人工智能训练任务,721
1383,实时推理任务,33
1383,批量推理任务,32
1384,人工智能训练任务,1118
1384,实时推理任务,24
1384,批量推理任务,93
1385,人工智能训练任务,390
1385,实时推理任务,30
1385,批量推理任务,100
1386,人工智能训练任务,423
1386,实时推理任务,17
1386,批量推理任务,117
1387,人工智能训练任务,427
1387,实时推理任务,7
1387,批量推理任务,97
1388,人工智能训练任务,196
1388,实时推理任务,35
1388,批量推理任务,108
1389,人工智能训练任务,407
1389,实时推理任务,34
1389,批量推理任务,64
1390,人工智能训练任务,579
1390,实时推理任务,28
1390,批量推理任务,120
1391,人工智能训练任务,290
1391,实时推理任务,16
1391,批量推理任务,131
1392,人工智能训练任务,530
1392,实时推理任务,24
1392,批量推理任务,70
1393,人工智能训练任务,436
1393,实时推理任务,40
1393,批量推理任务,177
1394,人工智能训练任务,186
1394,实时推理任务,36
1394,批量推理任务,79
1395,人工智能训练任务,555
1395,实时推理任务,29
1395,批量推理任务,59
1396,人工智能训练任务,428
1396,实时推理任务,24
1396,批量推理任务,29
1397,人工智能训练任务,507
1397,实时推理任务,18
1397,批量推理任务,68
1398,人工智能训练任务,475
1398,实时推理任务,28
1398,批量推理任务,94
1399,人工智能训练任务,687
1399,实时推理任务,33
1399,批量推理任务,72
1400,人工智能训练任务,379
1400,批量推理任务,66
1401,人工智能训练任务,306
1401,实时推理任务,42
1401,批量推理任务,87
1402,人工智能训练任务,302
1402,实时推理任务,39
1402,批量推理任务,78
1403,人工智能训练任务,504
1403,实时推理任务,46
1403,批量推理任务,52
1404,人工智能训练任务,589
1404,实时推理任务,17
1404,批量推理任务,99
1405,人工智能训练任务,409
1405,实时推理任务,27
1405,批量推理任务,50
1406,人工智能训练任务,639
1406,实时推理任务,26
1406,批量推理任务,71
1407,人工智能训练任务,360
1407,实时推理任务,21
1407,批量推理任务,31
1408,人工智能训练任务,95
1408,实时推理任务,58
1408,批量推理任务,74
1409,人工智能训练任务,510
1409,实时推理任务,23
1409,批量推理任务,112
1410,人工智能训练任务,396
1410,实时推理任务,46
1410,批量推理任务,132
1411,人工智能训练任务,311
1411,实时推理任务,40
1411,批量推理任务,110
1412,人工智能训练任务,615
1412,实时推理任务,37
1412,批量推理任务,100
1413,人工智能训练任务,345
1413,实时推理任务,26
1413,批量推理任务,93
1414,人工智能训练任务,701
1414,实时推理任务,26
1414,批量推理任务,123
1415,人工智能训练任务,260
1415,实时推理任务,17
1415,批量推理任务,48
1416,人工智能训练任务,303
1416,实时推理任务,31
1416,批量推理任务,115
1417,人工智能训练任务,395
1417,实时推理任务,12
1417,批量推理任务,31
1418,人工智能训练任务,638
1418,实时推理任务,36
1418,批量推理任务,140
1419,人工智能训练任务,312
1419,实时推理任务,47
1419,批量推理任务,85
1420,人工智能训练任务,397
1420,实时推理任务,13
1420,批量推理任务,55
1421,人工智能训练任务,401
1421,实时推理任务,45
1421,批量推理任务,80
1422,人工智能训练任务,180
1422,实时推理任务,30
1422,批量推理任务,125
1423,人工智能训练任务,610
1423,实时推理任务,24
1423,批量推理任务,103
1424,人工智能训练任务,411
1424,实时推理任务,52
1424,批量推理任务,54
1425,人工智能训练任务,601
1425,实时推理任务,12
1425,批量推理任务,71
1426,人工智能训练任务,400
1426,实时推理任务,29
1426,批量推理任务,129
1427,人工智能训练任务,475
1427,实时推理任务,26
1427,批量推理任务,46
1428,人工智能训练任务,588
1428,实时推理任务,23
1428,批量推理任务,28
1429,人工智能训练任务,202
1429,实时推理任务,31
1429,批量推理任务,71
1430,人工智能训练任务,279
1430,实时推理任务,32
1430,批量推理任务,81
1431,人工智能训练任务,498
1431,实时推理任务,50
1431,批量推理任务,41
1432,人工智能训练任务,440
1432,实时推理任务,39
1432,批量推理任务,73
1433,人工智能训练任务,661
1433,实时推理任务,20
1433,批量推理任务,68
1434,人工智能训练任务,110
1434,实时推理任务,33
1434,批量推理任务,90
1435,人工智能训练任务,206
1435,实时推理任务,17
1435,批量推理任务,52
1436,人工智能训练任务,540
1436,实时推理任务,15
1436,批量推理任务,57
1437,人工智能训练任务,232
1437,实时推理任务,23
1437,批量推理任务,152
1438,人工智能训练任务,490
1438,实时推理任务,37
1438,批量推理任务,41
1439,人工智能训练任务,411
1439,实时推理任务,29
1439,批量推理任务,63
1440,人工智能训练任务,453
1440,实时推理任务,23
1440,批量推理任务,66
1441,人工智能训练任务,382
1441,实时推理任务,19
1441,批量推理任务,186
1442,人工智能训练任务,429
1442,实时推理任务,8
1442,批量推理任务,64
1443,人工智能训练任务,552
1443,实时推理任务,21
1443,批量推理任务,73
1444,人工智能训练任务,590
1444,实时推理任务,43
1444,批量推理任务,123
1445,人工智能训练任务,864
1445,实时推理任务,15
1445,批量推理任务,27
1446,人工智能训练任务,387
1446,实时推理任务,35
1446,批量推理任务,101
1447,人工智能训练任务,73
1447,实时推理任务,26
1447,批量推理任务,66
1448,人工智能训练任务,225
1448,实时推理任务,18
1448,批量推理任务,93
1449,人工智能训练任务,743
1449,实时推理任务,45
1449,批量推理任务,128
1450,人工智能训练任务,445
1450,实时推理任务,15
1450,批量推理任务,31
1451,人工智能训练任务,255
1451,实时推理任务,17
1451,批量推理任务,103
1452,人工智能训练任务,373
1452,实时推理任务,22
1452,批量推理任务,138
1453,人工智能训练任务,258
1453,实时推理任务,26
1453,批量推理任务,127
1454,人工智能训练任务,626
1454,实时推理任务,23
1454,批量推理任务,69
1455,人工智能训练任务,241
1455,实时推理任务,30
1455,批量推理任务,85
1456,人工智能训练任务,455
1456,实时推理任务,16
1456,批量推理任务,85
1457,人工智能训练任务,622
1457,实时推理任务,36
1457,批量推理任务,85
1458,人工智能训练任务,620
1458,实时推理任务,45
1458,批量推理任务,99
1459,人工智能训练任务,106
1459,实时推理任务,48
1459,批量推理任务,104
1460,人工智能训练任务,314
1460,实时推理任务,24
1460,批量推理任务,143
1461,人工智能训练任务,316
1461,实时推理任务,13
1461,批量推理任务,60
1462,人工智能训练任务,562
1462,实时推理任务,17
1462,批量推理任务,131
1463,人工智能训练任务,818
1463,实时推理任务,7
1463,批量推理任务,65
1464,人工智能训练任务,470
1464,实时推理任务,20
1464,批量推理任务,81
1465,人工智能训练任务,308
1465,实时推理任务,50
1465,批量推理任务,65
1466,人工智能训练任务,509
1466,实时推理任务,23
1466,批量推理任务,171
1467,人工智能训练任务,816
1467,实时推理任务,27
1467,批量推理任务,66
1468,人工智能训练任务,813
1468,实时推理任务,12
1468,批量推理任务,86
1469,人工智能训练任务,530
1469,实时推理任务,44
1469,批量推理任务,93
1470,人工智能训练任务,635
1470,实时推理任务,26
1470,批量推理任务,63
1471,人工智能训练任务,496
1471,实时推理任务,26
1471,批量推理任务,88
1472,人工智能训练任务,533
1472,实时推理任务,35
1472,批量推理任务,138
1473,人工智能训练任务,555
1473,实时推理任务,12
1473,批量推理任务,76
1474,人工智能训练任务,616
1474,实时推理任务,51
1474,批量推理任务,110
1475,人工智能训练任务,344
1475,实时推理任务,32
1475,批量推理任务,86
1476,人工智能训练任务,459
1476,实时推理任务,70
1476,批量推理任务,209
1477,人工智能训练任务,547
1477,实时推理任务,33
1477,批量推理任务,98
1478,人工智能训练任务,201
1478,实时推理任务,29
1478,批量推理任务,38
1479,人工智能训练任务,427
1479,实时推理任务,35
1479,批量推理任务,55
1480,人工智能训练任务,141
1480,实时推理任务,37
1480,批量推理任务,134
1481,人工智能训练任务,649
1481,实时推理任务,40
1481,批量推理任务,72
1482,人工智能训练任务,534
1482,实时推理任务,20
1482,批量推理任务,111
1483,人工智能训练任务,470
1483,实时推理任务,18
1483,批量推理任务,140
1484,人工智能训练任务,396
1484,实时推理任务,41
1484,批量推理任务,108
1485,人工智能训练任务,229
1485,实时推理任务,22
1485,批量推理任务,48
1486,人工智能训练任务,427
1486,实时推理任务,40
1486,批量推理任务,36
1487,人工智能训练任务,483
1487,实时推理任务,28
1487,批量推理任务,137
1488,人工智能训练任务,636
1488,实时推理任务,19
1488,批量推理任务,95
1489,人工智能训练任务,658
1489,实时推理任务,23
1489,批量推理任务,97
1490,人工智能训练任务,355
1490,实时推理任务,36
1490,批量推理任务,224
1491,人工智能训练任务,384
1491,实时推理任务,32
1491,批量推理任务,90
1492,人工智能训练任务,877
1492,实时推理任务,14
1492,批量推理任务,145
1493,人工智能训练任务,578
1493,实时推理任务,24
1493,批量推理任务,96
1494,人工智能训练任务,222
1494,实时推理任务,22
1494,批量推理任务,84
1495,人工智能训练任务,424
1495,实时推理任务,45
1495,批量推理任务,104
1496,人工智能训练任务,876
1496,实时推理任务,13
1496,批量推理任务,60
1497,人工智能训练任务,788
1497,实时推理任务,4
1497,批量推理任务,67
1498,人工智能训练任务,623
1498,实时推理任务,14
1498,批量推理任务,97
1499,人工智能训练任务,519
1499,实时推理任务,51
1499,批量推理任务,59
1500,人工智能训练任务,413
1500,实时推理任务,28
1500,批量推理任务,103
1501,人工智能训练任务,237
1501,实时推理任务,28
1501,批量推理任务,47
1502,人工智能训练任务,374
1502,实时推理任务,2
1502,批量推理任务,127
1503,人工智能训练任务,454
1503,实时推理任务,31
1503,批量推理任务,83
1504,人工智能训练任务,549
1504,实时推理任务,13
1504,批量推理任务,32
1505,人工智能训练任务,490
1505,实时推理任务,25
1505,批量推理任务,78
1506,人工智能训练任务,269
1506,实时推理任务,25
1506,批量推理任务,104
1507,人工智能训练任务,734
1507,实时推理任务,35
1507,批量推理任务,57
1508,人工智能训练任务,758
1508,实时推理任务,37
1508,批量推理任务,68
1509,人工智能训练任务,522
1509,实时推理任务,30
1509,批量推理任务,167
1510,人工智能训练任务,459
1510,实时推理任务,5
1510,批量推理任务,72
1511,人工智能训练任务,1211
1511,实时推理任务,30
1511,批量推理任务,59
1512,人工智能训练任务,763
1512,实时推理任务,13
1512,批量推理任务,46
1513,人工智能训练任务,295
1513,实时推理任务,21
1513,批量推理任务,34
1514,人工智能训练任务,302
1514,实时推理任务,30
1514,批量推理任务,98
1515,人工智能训练任务,558
1515,实时推理任务,47
1515,批量推理任务,58
1516,人工智能训练任务,386
1516,实时推理任务,21
1516,批量推理任务,64
1517,人工智能训练任务,575
1517,实时推理任务,50
1517,批量推理任务,76
1518,人工智能训练任务,449
1518,实时推理任务,27
1518,批量推理任务,39
1519,人工智能训练任务,828
1519,实时推理任务,22
1519,批量推理任务,179
1520,人工智能训练任务,334
1520,实时推理任务,17
1520,批量推理任务,83
1521,人工智能训练任务,283
1521,实时推理任务,21
1521,批量推理任务,110
1522,人工智能训练任务,790
1522,实时推理任务,18
1522,批量推理任务,56
1523,人工智能训练任务,275
1523,实时推理任务,20
1523,批量推理任务,58
1524,人工智能训练任务,574
1524,实时推理任务,20
1524,批量推理任务,102
1525,人工智能训练任务,159
1525,实时推理任务,39
1525,批量推理任务,78
1526,人工智能训练任务,509
1526,实时推理任务,1
1526,批量推理任务,76
1527,人工智能训练任务,570
1527,实时推理任务,43
1527,批量推理任务,89
1528,人工智能训练任务,1056
1528,实时推理任务,32
1528,批量推理任务,174
1529,人工智能训练任务,201
1529,实时推理任务,31
1529,批量推理任务,135
1530,人工智能训练任务,393
1530,实时推理任务,41
1530,批量推理任务,144
1531,人工智能训练任务,588
1531,实时推理任务,21
1531,批量推理任务,52
1532,人工智能训练任务,764
1532,实时推理任务,43
1532,批量推理任务,73
1533,人工智能训练任务,221
1533,实时推理任务,27
1533,批量推理任务,89
1534,人工智能训练任务,312
1534,实时推理任务,53
1534,批量推理任务,65
1535,人工智能训练任务,130
1535,实时推理任务,36
1535,批量推理任务,71
1536,人工智能训练任务,533
1536,实时推理任务,29
1536,批量推理任务,70
1537,人工智能训练任务,898
1537,实时推理任务,28
1537,批量推理任务,73
1538,人工智能训练任务,375
1538,实时推理任务,18
1538,批量推理任务,57
1539,人工智能训练任务,385
1539,实时推理任务,47
1539,批量推理任务,116
1540,人工智能训练任务,465
1540,实时推理任务,25
1540,批量推理任务,107
1541,人工智能训练任务,896
1541,实时推理任务,16
1541,批量推理任务,130
1542,人工智能训练任务,288
1542,实时推理任务,18
1542,批量推理任务,155
1543,人工智能训练任务,553
1543,实时推理任务,36
1543,批量推理任务,70
1544,人工智能训练任务,632
1544,实时推理任务,28
1544,批量推理任务,56
1545,人工智能训练任务,228
1545,实时推理任务,53
1545,批量推理任务,140
1546,人工智能训练任务,1166
1546,实时推理任务,15
1546,批量推理任务,74
1547,人工智能训练任务,371
1547,实时推理任务,33
1547,批量推理任务,146
1548,人工智能训练任务,97
1548,实时推理任务,37
1548,批量推理任务,74
1549,人工智能训练任务,296
1549,实时推理任务,8
1549,批量推理任务,68
1550,人工智能训练任务,416
1550,实时推理任务,36
1550,批量推理任务,100
1551,人工智能训练任务,344
1551,实时推理任务,29
1551,批量推理任务,120
1552,人工智能训练任务,368
1552,实时推理任务,14
1552,批量推理任务,50
1553,人工智能训练任务,432
1553,实时推理任务,40
1553,批量推理任务,29
1554,人工智能训练任务,197
1554,实时推理任务,20
1554,批量推理任务,47
1555,人工智能训练任务,567
1555,实时推理任务,23
1555,批量推理任务,119
1556,人工智能训练任务,946
1556,实时推理任务,33
1556,批量推理任务,104
1557,人工智能训练任务,807
1557,实时推理任务,31
1557,批量推理任务,88
1558,人工智能训练任务,530
1558,实时推理任务,38
1558,批量推理任务,83
1559,人工智能训练任务,499
1559,实时推理任务,33
1559,批量推理任务,120
1560,人工智能训练任务,596
1560,实时推理任务,20
1560,批量推理任务,64
1561,人工智能训练任务,738
1561,实时推理任务,32
1561,批量推理任务,102
1562,人工智能训练任务,638
1562,实时推理任务,38
1562,批量推理任务,144
1563,人工智能训练任务,251
1563,实时推理任务,9
1563,批量推理任务,125
1564,人工智能训练任务,327
1564,实时推理任务,16
1564,批量推理任务,149
1565,人工智能训练任务,419
1565,实时推理任务,13
1565,批量推理任务,83
1566,人工智能训练任务,262
1566,实时推理任务,19
1566,批量推理任务,163
1567,人工智能训练任务,427
1567,实时推理任务,21
1567,批量推理任务,76
1568,人工智能训练任务,419
1568,实时推理任务,9
1568,批量推理任务,110
1569,人工智能训练任务,555
1569,实时推理任务,26
1569,批量推理任务,89
1570,人工智能训练任务,502
1570,实时推理任务,24
1570,批量推理任务,101
1571,人工智能训练任务,197
1571,实时推理任务,33
1571,批量推理任务,97
1572,人工智能训练任务,307
1572,实时推理任务,58
1572,批量推理任务,118
1573,人工智能训练任务,482
1573,实时推理任务,28
1573,批量推理任务,106
1574,人工智能训练任务,1127
1574,实时推理任务,37
1574,批量推理任务,72
1575,人工智能训练任务,147
1575,实时推理任务,24
1575,批量推理任务,76
1576,人工智能训练任务,372
1576,实时推理任务,43
1576,批量推理任务,142
1577,人工智能训练任务,308
1577,实时推理任务,37
1577,批量推理任务,40
1578,人工智能训练任务,574
1578,实时推理任务,59
1578,批量推理任务,54
1579,人工智能训练任务,401
1579,实时推理任务,34
1579,批量推理任务,106
1580,人工智能训练任务,479
1580,实时推理任务,20
1580,批量推理任务,63
1581,人工智能训练任务,472
1581,实时推理任务,19
1581,批量推理任务,45
1582,人工智能训练任务,848
1582,实时推理任务,50
1582,批量推理任务,58
1583,人工智能训练任务,447
1583,实时推理任务,17
1583,批量推理任务,108
1584,人工智能训练任务,490
1584,实时推理任务,45
1584,批量推理任务,29
1585,人工智能训练任务,507
1585,实时推理任务,35
1585,批量推理任务,55
1586,人工智能训练任务,631
1586,实时推理任务,30
1586,批量推理任务,81
1587,人工智能训练任务,379
1587,实时推理任务,71
1587,批量推理任务,144
1588,人工智能训练任务,467
1588,实时推理任务,45
1588,批量推理任务,59
1589,人工智能训练任务,253
1589,实时推理任务,25
1589,批量推理任务,78
1590,人工智能训练任务,469
1590,实时推理任务,59
1590,批量推理任务,88
1591,人工智能训练任务,509
1591,实时推理任务,20
1591,批量推理任务,53
1592,人工智能训练任务,546
1592,实时推理任务,21
1592,批量推理任务,112
1593,人工智能训练任务,601
1593,实时推理任务,62
1593,批量推理任务,70
1594,人工智能训练任务,939
1594,实时推理任务,7
1594,批量推理任务,89
1595,人工智能训练任务,777
1595,实时推理任务,31
1595,批量推理任务,64
1596,人工智能训练任务,804
1596,实时推理任务,27
1596,批量推理任务,97
1597,人工智能训练任务,761
1597,实时推理任务,22
1597,批量推理任务,125
1598,人工智能训练任务,882
1598,实时推理任务,12
1598,批量推理任务,66
1599,人工智能训练任务,1076
1599,实时推理任务,27
1599,批量推理任务,131
1600,人工智能训练任务,547
1600,实时推理任务,37
1600,批量推理任务,93
1601,人工智能训练任务,58
1601,实时推理任务,25
1601,批量推理任务,156
1602,人工智能训练任务,318
1602,实时推理任务,35
1602,批量推理任务,109
1603,人工智能训练任务,156
1603,实时推理任务,23
1603,批量推理任务,123
1604,人工智能训练任务,508
1604,实时推理任务,30
1604,批量推理任务,67
1605,人工智能训练任务,675
1605,实时推理任务,8
1605,批量推理任务,130
1606,人工智能训练任务,422
1606,实时推理任务,16
1606,批量推理任务,100
1607,人工智能训练任务,324
1607,实时推理任务,30
1607,批量推理任务,152
1608,人工智能训练任务,686
1608,实时推理任务,31
1608,批量推理任务,28
1609,人工智能训练任务,608
1609,实时推理任务,45
1609,批量推理任务,155
1610,人工智能训练任务,626
1610,实时推理任务,24
1610,批量推理任务,79
1611,人工智能训练任务,507
1611,实时推理任务,21
1611,批量推理任务,159
1612,人工智能训练任务,443
1612,实时推理任务,7
1612,批量推理任务,95
1613,人工智能训练任务,743
1613,实时推理任务,44
1613,批量推理任务,12
1614,人工智能训练任务,645
1614,实时推理任务,14
1614,批量推理任务,74
1615,人工智能训练任务,533
1615,实时推理任务,25
1615,批量推理任务,85
1616,人工智能训练任务,392
1616,实时推理任务,24
1616,批量推理任务,160
1617,人工智能训练任务,847
1617,实时推理任务,25
1617,批量推理任务,69
1618,人工智能训练任务,521
1618,实时推理任务,21
1618,批量推理任务,148
1619,人工智能训练任务,534
1619,实时推理任务,24
1619,批量推理任务,71
1620,人工智能训练任务,100
1620,实时推理任务,25
1620,批量推理任务,93
1621,人工智能训练任务,99
1621,实时推理任务,47
1621,批量推理任务,119
1622,人工智能训练任务,527
1622,实时推理任务,39
1622,批量推理任务,45
1623,人工智能训练任务,200
1623,实时推理任务,59
1623,批量推理任务,84
1624,人工智能训练任务,487
1624,实时推理任务,24
1624,批量推理任务,99
1625,人工智能训练任务,271
1625,实时推理任务,50
1625,批量推理任务,133
1626,人工智能训练任务,368
1626,实时推理任务,33
1626,批量推理任务,114
1627,人工智能训练任务,457
1627,实时推理任务,31
1627,批量推理任务,54
1628,人工智能训练任务,833
1628,实时推理任务,23
1628,批量推理任务,80
