调度时段编号,区域编号,电价时段,购电价格,售电价格,碳强度,人工智能训练任务功率,图形处理器利用率,可用新能源出力,直接消纳新能源,新能源充电功率,弃风弃光功率,信息技术侧负荷,设施侧总负荷,电网购电功率,电网充电功率,外送售电功率,净购电功率,碳排放量,需求响应等级,储能荷电状态,储能充电功率,储能放电功率,基准人工智能信息技术负荷,非人工智能信息技术负荷,数据时段
1027,区域C,峰,995.88,0.0,0.5608,0.0,13.959877,587.87,62.5245,0.0,525.3455,241.3,332.994,232.2195,0.0,0.0,232.2195,130.2287,中,175.2717,0.0,38.25,6.8483333333,234.451667,主时域0_2399
1027,区域D,峰,639.15,498.54,0.4282,116.8,53.85077,587.87,120.5538,0.0,287.3162,236.78,303.0784,0.5246,0.0,180.0,-179.4754,0.2246,中,331.2957,0.0,182.0,123.0683333333,113.711667,主时域0_2399
1027,区域E,峰,564.83,440.57,0.2243,79.0133333333,54.128788,587.87,145.9631,0.0,221.9069,212.31,265.3875,0.0,0.0,220.0,-220.0,0.0,中,430.4986,0.0,119.4244,84.1903333333,128.119667,主时域0_2399
1027,区域F,峰,594.56,463.76,0.2651,93.3173333333,62.55176,587.87,182.5709,0.0,185.2991,264.03,335.3181,0.0,0.0,220.0,-220.0,0.0,中,383.0875,0.0,152.7472,95.4186666667,168.611333,主时域0_2399
1028,区域A,峰,1070.55,0.0,0.6455,0.0,26.851852,540.19,40.5211,0.0,499.6689,250.13,337.6755,252.1544,0.0,0.0,252.1544,162.7657,中,154.3478,0.0,45.0,16.08,234.05,主时域0_2399
1028,区域B,峰,1025.95,0.0,0.6038,23.9866666667,39.595442,540.19,48.3246,0.0,491.8654,238.64,322.164,233.3394,0.0,0.0,233.3394,140.8903,中,143.913,0.0,40.5,31.762,206.878,主时域0_2399
1028,区域C,峰,996.21,0.0,0.5726,0.0,13.070988,540.19,59.7178,0.0,480.4722,240.41,331.7658,233.798,0.0,0.0,233.798,133.8727,中,133.6957,0.0,38.25,6.4466666667,233.963333,主时域0_2399
1028,区域D,峰,639.36,498.7,0.4373,119.0746666667,54.351223,540.19,106.4993,0.0,253.6907,213.34,273.0752,0.0,0.0,180.0,-180.0,0.0,中,152.1819,0.0,166.5759,124.658,88.682,主时域0_2399
1028,区域E,峰,565.02,440.72,0.229,71.52,47.341897,540.19,172.4456,0.0,165.485,250.83,313.5375,0.0,0.0,202.2594,-202.2594,0.0,中,278.7869,0.0,141.0919,74.569,176.261,主时域0_2399
1028,区域F,峰,594.75,463.91,0.2707,88.6186666667,59.510007,540.19,185.6445,0.0,159.5455,261.03,331.5081,0.0,0.0,195.0,-195.0,0.0,中,226.2449,0.0,145.8636,90.7186666667,170.311333,主时域0_2399
1029,区域A,峰,1070.89,0.0,0.658,0.0,27.399471,510.22,40.0626,0.0,470.1574,247.3,333.855,248.7924,0.0,0.0,248.7924,163.7054,中,105.4348,0.0,45.0,16.4546666667,230.845333,主时域0_2399
1029,区域B,峰,1026.27,0.0,0.6155,18.56,27.592593,510.22,51.9129,0.0,458.3071,256.36,346.086,253.6731,0.0,0.0,253.6731,156.1358,中,99.8913,0.0,40.5,22.7516666667,233.608333,主时域0_2399
1029,区域C,峰,996.52,0.0,0.5837,0.0,11.564815,510.22,61.1461,0.0,449.0739,246.16,339.7008,240.3047,0.0,0.0,240.3047,140.2658,中,92.1196,0.0,38.25,5.696,240.464,主时域0_2399
1029,区域D,峰,639.56,498.86,0.4457,115.0346666667,53.054801,510.22,143.6912,0.0,186.5288,293.69,375.9232,174.4029,0.0,180.0,-5.5971,77.7314,中,90.0,0.0,57.8291,121.2346666667,172.455333,主时域0_2399
1029,区域E,峰,565.19,440.85,0.2335,86.864,55.566535,510.22,195.6006,0.0,141.5787,284.51,355.6375,0.0,0.0,173.0407,-173.0407,0.0,中,106.7042,0.0,160.0369,88.7046666667,195.805333,主时域0_2399
1029,区域F,峰,594.94,464.05,0.2759,76.64,54.658385,510.22,184.5797,0.0,146.5381,252.53,320.7131,4.7756,0.0,179.1021,-174.3266,1.3176,中,85.0,0.0,131.3578,81.54,170.99,主时域0_2399
1030,区域A,平,664.89,0.0,0.6687,0.0,22.825397,500.0,41.1464,55.0,403.8536,253.99,342.8865,301.7401,0.0,0.0,301.7401,201.7736,低,156.5848,55.0,0.0,13.3863333333,240.603667,主时域0_2399
1030,区域B,平,637.19,0.0,0.6256,18.56,29.461538,500.0,55.3736,49.5,395.1264,273.45,369.1575,313.7839,0.0,0.0,313.7839,196.3032,低,145.9263,49.5,0.0,23.8866666667,249.563333,主时域0_2399
1030,区域C,平,618.72,0.0,0.5932,0.0,9.425926,500.0,69.6191,46.75,383.6309,280.27,386.7726,317.1535,0.0,0.0,317.1535,188.1355,低,135.5971,46.75,0.0,4.632,275.638,主时域0_2399
1030,区域D,平,397.09,309.73,0.453,102.1386666667,47.680027,500.0,123.1728,75.3654,135.6578,256.61,328.4608,205.288,0.0,165.804,39.484,92.9955,低,160.8435,75.3654,0.0,108.487,148.123,主时域0_2399
1030,区域E,平,350.91,273.71,0.2373,69.8426666667,45.238801,500.0,184.6075,63.0785,113.5413,268.52,335.65,151.0425,0.0,138.7727,12.2698,35.8424,低,165.998,63.0785,0.0,71.8726666667,196.647333,主时域0_2399
1030,区域F,平,369.38,288.12,0.2804,72.44,51.15597,500.0,197.8227,60.4355,108.7838,264.01,335.2927,137.47,0.0,132.958,4.512,38.5466,低,141.8093,60.4355,0.0,76.5816666667,187.428333,主时域0_2399
1031,区域A,平,665.08,0.0,0.6771,0.0,14.793651,510.22,46.541,55.0,408.679,287.29,387.8415,341.3005,0.0,0.0,341.3005,231.0946,低,207.7348,55.0,0.0,8.5316666667,278.758333,主时域0_2399
1031,区域B,平,637.37,0.0,0.6334,15.776,24.609687,510.22,64.6542,49.5,396.0658,319.28,431.028,366.3738,0.0,0.0,366.3738,232.0612,低,191.9613,49.5,0.0,19.8826666667,299.397333,主时域0_2399
1031,区域C,平,618.89,0.0,0.6006,0.0,11.08642,510.22,77.5281,46.75,385.9419,312.11,430.7118,353.1837,0.0,0.0,353.1837,212.1221,低,179.0746,46.75,0.0,5.1716666667,306.938333,主时域0_2399
1031,区域D,平,397.2,309.82,0.4586,102.2586666667,47.256567,510.22,145.466,72.9508,131.3114,308.16,394.4448,248.9788,0.0,160.4917,88.487,114.1817,低,229.4173,72.9508,0.0,107.9086666667,200.251333,主时域0_2399
1031,区域E,平,351.01,273.79,0.2402,41.8773333333,26.357049,510.22,218.5012,58.3438,105.0187,317.82,397.275,178.7737,0.0,128.3563,50.4175,42.9415,低,220.8411,58.3438,0.0,42.2773333333,275.542667,主时域0_2399
1031,区域F,平,369.49,288.2,0.2839,56.9226666667,38.933747,510.22,237.3818,54.5676,98.2217,310.27,394.0429,156.6611,0.0,120.0488,36.6123,44.4761,低,193.1029,54.5676,0.0,58.956,251.314,主时域0_2399
1032,区域A,谷,480.46,0.0,0.6825,14.08,26.698413,540.19,57.497,55.0,427.693,354.92,479.142,439.645,18.0,0.0,439.645,300.0577,中,275.6248,73.0,0.0,21.508,333.412,主时域0_2399
1032,区域B,谷,460.44,0.0,0.6384,0.0,7.928775,540.19,74.7266,49.5,415.9635,369.02,498.177,439.6505,16.2,0.0,439.6505,280.6728,中,253.0623,65.7,0.0,4.2356666667,364.784333,主时域0_2399
1032,区域C,谷,447.1,0.0,0.6054,0.0,7.611111,540.19,90.3356,46.75,403.1044,363.67,501.8646,426.829,15.3,0.0,426.829,258.4023,中,236.7811,62.05,0.0,3.418,360.252,主时域0_2399
1032,区域D,谷,286.94,223.81,0.4623,159.832,75.064538,540.19,163.4021,75.3576,135.6436,350.69,448.8832,347.8811,62.4,165.7867,182.0944,160.8254,低,358.9094,137.7576,0.0,170.432,180.258,主时域0_2399
1032,区域E,谷,253.58,197.79,0.2422,57.7946666667,36.138011,540.19,243.4781,59.3424,106.8163,354.15,442.6875,256.8094,57.6,130.5532,126.2561,62.1992,低,330.767,116.9424,0.0,58.1546666667,295.995333,主时域0_2399
1032,区域F,谷,266.92,208.2,0.2862,40.728,28.504141,540.19,278.9028,52.2574,94.0634,358.86,455.7522,236.8494,60.0,114.9664,121.883,67.7863,低,298.6249,112.2574,0.0,42.788,316.072,主时域0_2399
1033,区域A,谷,480.58,0.0,0.6846,24.8,40.34127,587.87,62.5255,55.0,470.3445,385.96,521.046,476.5205,18.0,0.0,476.5205,326.2259,中,343.5148,73.0,0.0,34.2196666667,351.740333,主时域0_2399
1033,区域B,谷,460.56,0.0,0.6404,0.0,9.230769,587.87,79.704,49.5,458.666,393.6,531.36,467.856,16.2,0.0,467.856,299.615,中,314.1633,65.7,0.0,4.928,388.672,主时域0_2399
1033,区域C,谷,447.21,0.0,0.6073,0.0,8.67284,587.87,95.0229,46.75,446.0971,382.54,527.9052,448.1823,15.3,0.0,448.1823,272.1811,中,294.4876,62.05,0.0,3.9266666667,378.613333,主时域0_2399
1033,区域D,谷,287.02,223.88,0.4637,171.3893333333,79.356884,587.87,172.2232,83.1294,152.5174,372.69,477.0432,367.22,62.4,180.0,187.22,170.2799,低,495.707,145.5294,0.0,181.0843333333,191.605667,主时域0_2399
1033,区域E,谷,253.64,197.84,0.2429,51.04,31.521739,587.87,274.8831,62.5974,112.6753,399.83,499.7875,282.5044,57.6,137.7142,144.7901,68.6203,低,443.7525,120.1974,0.0,51.04,348.79,主时域0_2399
1033,区域F,谷,266.99,208.25,0.2871,47.52,35.093168,587.87,295.9023,58.3935,105.1084,377.04,478.8408,242.9385,60.0,128.4658,114.4727,69.7476,低,409.9148,118.3935,0.0,51.7,325.34,主时域0_2399
1034,区域A,谷,480.7,0.0,0.6833,43.68,57.973545,650.0,65.3184,0.0,584.6816,403.2,544.32,485.975,6.9734,0.0,485.975,332.0667,中,350.0,6.9734,0.0,52.4373333333,350.762667,主时域0_2399
1034,区域B,谷,460.67,0.0,0.6392,22.4,36.980057,650.0,79.704,0.0,570.296,393.6,531.36,457.932,6.276,0.0,457.932,292.7101,中,320.0,6.276,0.0,29.4666666667,364.133333,主时域0_2399
1034,区域C,谷,447.32,0.0,0.6061,0.0,11.425926,650.0,96.5779,0.0,553.4221,388.8,536.544,445.8934,5.9273,0.0,445.8934,270.256,中,300.0,5.9273,0.0,5.436,383.364,主时域0_2399
1034,区域D,谷,287.08,223.92,0.4629,164.9493333333,75.63519,650.0,198.4435,90.3113,181.2452,430.65,551.232,415.1885,62.4,180.0,235.1885,192.1907,低,639.2556,152.7113,0.0,173.191,257.459,主时域0_2399
1034,区域E,谷,253.7,197.89,0.2425,47.872,29.960474,650.0,284.4669,73.1066,131.5919,413.77,517.2125,290.3456,57.6,160.8346,129.511,70.4088,低,566.6167,130.7066,0.0,48.272,365.498,主时域0_2399
1034,区域F,谷,267.05,208.3,0.2865,41.248,30.388199,650.0,343.3615,61.3277,110.3899,436.07,553.8089,270.4474,60.0,134.9209,135.5264,77.4832,中,523.9629,121.3277,0.0,44.803,391.267,主时域0_2399
1035,区域A,谷,480.8,0.0,0.6787,40.6293333333,50.063492,722.35,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,325.0984,中,350.0,0.0,0.0,46.104,357.096,主时域0_2399
1035,区域B,谷,460.77,0.0,0.6349,41.92,64.920228,722.35,79.704,0.0,642.646,393.6,531.36,451.656,0.0,0.0,451.656,286.7564,中,320.0,0.0,0.0,53.0626666667,340.537333,主时域0_2399
1035,区域C,谷,447.41,0.0,0.6021,0.0,11.265432,722.35,96.5779,0.0,625.7721,388.8,536.544,439.9661,0.0,0.0,439.9661,264.9036,中,300.0,0.0,0.0,5.3666666667,383.433333,主时域0_2399
1035,区域D,谷,287.15,223.98,0.4598,138.5066666667,64.990942,722.35,205.6521,103.3396,233.3583,445.03,569.6384,426.3863,62.4,180.0,246.3863,196.0524,低,795.0508,165.7396,0.0,147.5066666667,297.523333,主时域0_2399
1035,区域E,谷,253.76,197.93,0.2408,47.376,29.892951,722.35,300.8706,84.2959,151.7326,437.63,547.0375,303.7669,57.6,185.4509,118.316,73.1471,低,699.9989,141.8959,0.0,47.9693333333,389.660667,主时域0_2399
1035,区域F,谷,267.11,208.35,0.2846,57.968,39.57902,722.35,349.8968,74.4906,134.0831,445.84,566.2168,276.32,60.0,163.8794,112.4406,78.6407,中,650.3841,134.4906,0.0,59.9513333333,385.888667,主时域0_2399
1036,区域A,谷,480.9,0.0,0.6712,29.6,37.693122,800.0,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,321.5059,中,350.0,0.0,0.0,34.384,368.816,主时域0_2399
1036,区域B,谷,460.86,0.0,0.6279,56.2773333333,74.524217,800.0,79.704,0.0,720.296,393.6,531.36,451.656,0.0,0.0,451.656,283.5948,中,320.0,0.0,0.0,64.1513333333,329.448667,主时域0_2399
1036,区域C,谷,447.5,0.0,0.5954,13.44,26.361111,800.0,96.5779,0.0,703.4221,388.8,536.544,439.9661,0.0,0.0,439.9661,261.9558,中,300.0,0.0,0.0,18.5376666667,370.262333,主时域0_2399
1036,区域D,谷,287.2,224.02,0.4547,135.9573333333,64.893569,800.0,217.3678,49.2481,353.3841,466.51,597.1328,442.165,62.4,180.0,262.165,201.0524,低,900.0,111.6481,0.0,146.4073333333,320.102667,主时域0_2399
1036,区域E,谷,253.81,197.97,0.2382,48.928,33.379447,800.0,297.4606,70.0608,212.4786,432.67,540.8375,300.9769,57.6,220.0,80.9769,71.6927,低,820.0,127.6608,0.0,52.128,380.542,主时域0_2399
1036,区域F,谷,267.17,208.39,0.2815,68.0,46.319876,800.0,358.083,88.3834,159.0901,460.74,585.1398,287.0568,60.0,194.4435,92.6133,80.8065,中,789.8644,148.3834,0.0,70.225,390.515,主时域0_2399
1037,区域A,谷,480.99,0.0,0.6612,19.2373333333,27.179894,877.65,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,316.7159,中,350.0,0.0,0.0,23.8773333333,379.322667,主时域0_2399
1037,区域B,谷,460.95,0.0,0.6186,39.36,49.504274,877.65,79.704,0.0,797.946,393.6,531.36,451.656,0.0,0.0,451.656,279.3944,中,320.0,0.0,0.0,43.3446666667,350.255333,主时域0_2399
1037,区域C,谷,447.58,0.0,0.5866,13.44,25.669753,877.65,96.5779,0.0,781.0721,388.8,536.544,439.9661,0.0,0.0,439.9661,258.0841,中,300.0,0.0,0.0,18.4693333333,370.330667,主时域0_2399
1037,区域D,谷,287.26,224.06,0.4479,100.4266666667,49.182518,877.65,219.2564,0.0,478.3936,464.48,594.5344,375.278,0.0,180.0,195.278,168.087,低,900.0,0.0,0.0,109.9566666667,354.523333,主时域0_2399
1037,区域E,谷,253.85,198.0,0.2346,56.8,37.559289,877.65,345.565,0.0,312.085,502.64,628.3,282.735,0.0,220.0,62.735,66.3296,中,820.0,0.0,0.0,59.31,443.33,主时域0_2399
1037,区域F,谷,267.21,208.42,0.2773,81.12,52.506901,877.65,356.5433,3.974,297.1327,466.02,591.8454,295.3021,60.0,220.0,75.3021,81.8873,中,850.0,63.974,0.0,81.1373333333,384.882667,主时域0_2399
1038,区域A,谷,481.07,0.0,0.6496,18.88,26.981481,950.0,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,311.1594,中,350.0,0.0,0.0,23.362,379.838,主时域0_2399
1038,区域B,谷,461.02,0.0,0.6077,28.2,38.162393,950.0,79.704,0.0,870.296,393.6,531.36,451.656,0.0,0.0,451.656,274.4714,中,320.0,0.0,0.0,32.38,361.22,主时域0_2399
1038,区域C,谷,447.66,0.0,0.5763,13.44,23.518519,950.0,96.5779,0.0,853.4221,388.8,536.544,439.9661,0.0,0.0,439.9661,253.5525,中,300.0,0.0,0.0,17.54,371.26,主时域0_2399
1038,区域D,谷,287.3,224.09,0.44,50.328,27.476223,950.0,228.4848,0.0,541.5152,476.01,609.2928,380.808,0.0,180.0,200.808,167.5555,低,900.0,0.0,0.0,59.218,416.792,主时域0_2399
1038,区域E,谷,253.9,198.04,0.2305,49.712,37.22332,950.0,309.5813,0.0,420.4188,450.3,562.875,253.2937,0.0,220.0,33.2937,58.3842,中,820.0,0.0,0.0,56.312,393.988,主时域0_2399
1038,区域F,谷,267.26,208.46,0.2724,50.952,32.965839,950.0,346.334,0.0,383.666,462.21,587.0067,240.6727,0.0,220.0,20.6727,65.5593,中,850.0,0.0,0.0,50.952,411.258,主时域0_2399
1039,区域A,平,740.21,0.0,0.637,18.88,22.878307,1012.13,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,中,350.0,0.0,0.0,21.0546666667,382.145333,主时域0_2399
1039,区域B,平,709.37,0.0,0.5959,28.64,39.564103,1012.13,79.704,0.0,932.426,393.6,531.36,451.656,0.0,0.0,451.656,269.1418,中,320.0,0.0,0.0,33.448,360.152,主时域0_2399
1039,区域C,平,688.81,0.0,0.5651,13.44,25.533951,1012.13,96.5779,0.0,915.5521,388.8,536.544,439.9661,0.0,0.0,439.9661,248.6248,中,300.0,0.0,0.0,18.4106666667,370.389333,主时域0_2399
1039,区域D,平,442.07,344.81,0.4315,60.512,32.040308,1012.13,235.824,0.0,596.306,482.0,616.96,381.136,0.0,180.0,201.136,164.4602,低,900.0,0.0,0.0,69.7553333333,412.244667,主时域0_2399
1039,区域E,平,390.67,304.72,0.226,10.24,13.186759,1012.13,348.243,0.0,443.887,466.98,583.725,235.482,0.0,220.0,15.482,53.2189,中,820.0,0.0,0.0,17.185,449.795,主时域0_2399
1039,区域F,平,411.23,320.76,0.2671,33.536,21.697723,1012.13,330.8592,0.0,461.2708,452.66,574.8782,244.019,0.0,220.0,24.019,65.1775,中,850.0,0.0,0.0,33.536,419.124,主时域0_2399
1040,区域A,平,740.3,0.0,0.6245,26.6986666667,29.349206,1059.81,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,299.1365,中,350.0,0.0,0.0,28.1413333333,375.058667,主时域0_2399
1040,区域B,平,709.46,0.0,0.5842,35.3653333333,46.404558,1059.81,79.704,0.0,980.106,393.6,531.36,451.656,0.0,0.0,451.656,263.8574,中,320.0,0.0,0.0,40.104,353.496,主时域0_2399
1040,区域C,平,688.89,0.0,0.554,9.856,22.12963,1059.81,96.5779,0.0,963.2321,388.8,536.544,439.9661,0.0,0.0,439.9661,243.7412,中,300.0,0.0,0.0,15.106,373.694,主时域0_2399
1040,区域D,平,442.13,344.86,0.423,59.1946666667,29.137228,1059.81,226.9363,0.0,652.8737,454.6,581.888,354.9517,0.0,180.0,174.9517,150.1446,低,900.0,0.0,0.0,65.0746666667,389.525333,主时域0_2399
1040,区域E,平,390.72,304.76,0.2216,30.08,25.13834,1059.81,356.512,0.0,483.298,445.64,557.05,200.538,0.0,220.0,-19.462,44.4392,低,820.0,0.0,0.0,36.72,408.92,主时域0_2399
1040,区域F,平,411.28,320.8,0.2619,47.84,30.952381,1059.81,338.0831,0.0,501.7269,475.37,603.7199,265.6368,0.0,220.0,45.6368,69.5703,中,850.0,0.0,0.0,47.84,427.53,主时域0_2399
1041,区域A,平,740.38,0.0,0.6128,16.0,20.412698,1089.78,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,290.9422,中,350.0,0.0,0.0,18.368,384.832,主时域0_2399
1041,区域B,平,709.53,0.0,0.5732,29.5306666667,43.481481,1089.78,83.8298,0.0,1005.9502,393.6,531.36,447.5302,0.0,0.0,447.5302,256.5243,中,320.0,0.0,0.0,36.2546666667,357.345333,主时域0_2399
1041,区域C,平,688.97,0.0,0.5436,9.44,27.030864,1089.78,100.744,0.0,989.036,388.8,536.544,435.8,0.0,0.0,435.8,236.9009,中,300.0,0.0,0.0,17.5493333333,371.250667,主时域0_2399
1041,区域D,平,442.17,344.89,0.4151,61.12,28.894928,1089.78,209.5258,0.0,700.2542,411.53,526.7584,317.2326,0.0,180.0,137.2326,131.6832,低,900.0,0.0,0.0,65.4533333333,346.076667,主时域0_2399
1041,区域E,平,390.76,304.79,0.2174,49.28,35.599473,1089.78,376.5926,0.0,493.1874,444.83,556.0375,179.4449,0.0,220.0,-40.5551,39.0113,低,820.0,0.0,0.0,54.5066666667,390.323333,主时域0_2399
1041,区域F,平,411.32,320.83,0.257,66.8773333333,43.269496,1089.78,298.9121,0.0,570.8679,432.28,548.9956,250.0835,0.0,220.0,30.0835,64.2715,中,850.0,0.0,0.0,66.8773333333,365.402667,主时域0_2399
1042,区域A,平,740.45,0.0,0.6027,3.4666666667,13.439153,1100.0,67.1482,0.0,1032.8518,368.44,497.394,430.2458,0.0,0.0,430.2458,259.3091,中,350.0,0.0,0.0,8.7666666667,359.673333,主时域0_2399
1042,区域B,平,709.6,0.0,0.5638,15.68,28.330484,1100.0,87.6744,0.0,1012.3256,393.6,531.36,443.6856,0.0,0.0,443.6856,250.1499,中,320.0,0.0,0.0,22.304,371.296,主时域0_2399
1042,区域C,平,689.03,0.0,0.5347,9.44,28.490741,1100.0,104.6261,0.0,995.3739,388.8,536.544,431.9179,0.0,0.0,431.9179,230.9465,中,300.0,0.0,0.0,18.4066666667,370.393333,主时域0_2399
1042,区域D,平,442.21,344.92,0.4083,83.0213333333,37.803442,1100.0,218.4952,0.0,701.5048,421.48,539.4944,320.9992,0.0,180.0,140.9992,131.064,低,900.0,0.0,0.0,86.7796666667,334.700333,主时域0_2399
1042,区域E,平,390.79,304.82,0.2139,58.9973333333,39.344532,1100.0,367.66,0.0,512.34,416.68,520.85,153.19,0.0,220.0,-66.81,32.7673,低,820.0,0.0,0.0,61.9406666667,354.739333,主时域0_2399
1042,区域F,平,411.36,320.86,0.2527,51.048,33.856108,1100.0,280.4471,0.0,599.5529,416.65,529.1455,248.6984,0.0,220.0,28.6984,62.8461,低,850.0,0.0,0.0,51.848,364.802,主时域0_2399
1043,区域A,平,740.5,0.0,0.595,19.4,30.907407,1089.78,73.1782,0.0,1016.6018,383.86,518.211,445.0328,0.0,0.0,445.0328,264.7945,中,350.0,0.0,0.0,25.7173333333,358.142667,主时域0_2399
1043,区域B,平,709.65,0.0,0.5566,15.68,31.769231,1089.78,85.5233,0.0,1004.2567,370.01,499.5135,413.9902,0.0,0.0,413.9902,230.4269,中,320.0,0.0,0.0,24.205,345.805,主时域0_2399
1043,区域C,平,689.08,0.0,0.5278,7.2373333333,27.003086,1089.78,103.0949,0.0,986.6851,371.28,512.3664,409.2715,0.0,0.0,409.2715,216.0135,中,300.0,0.0,0.0,16.604,354.676,主时域0_2399
1043,区域D,平,442.24,344.95,0.4031,64.9546666667,30.092844,1089.78,199.6562,0.0,710.1238,379.32,485.5296,285.8734,0.0,180.0,105.8734,115.2356,低,900.0,0.0,0.0,68.6546666667,310.665333,主时域0_2399
1043,区域E,平,390.82,304.84,0.2111,44.0106666667,27.180501,1089.78,325.369,0.0,544.411,359.59,449.4875,124.1185,0.0,220.0,-95.8815,26.2014,低,820.0,0.0,0.0,44.0106666667,315.579333,主时域0_2399
1043,区域F,平,411.39,320.88,0.2495,50.3386666667,35.688406,1089.78,269.001,0.0,600.779,409.24,519.7348,250.7338,0.0,220.0,30.7338,62.5581,低,850.0,0.0,0.0,53.232,356.008,主时域0_2399
1044,区域A,平,740.54,0.0,0.5902,16.6693333333,36.283069,1059.81,72.003,0.0,987.807,365.36,493.236,421.233,0.0,0.0,421.233,248.6117,中,350.0,0.0,0.0,28.2093333333,337.150667,主时域0_2399
1044,区域B,平,709.68,0.0,0.5521,20.64,33.675214,1059.81,82.127,0.0,977.683,345.69,466.6815,384.5545,0.0,0.0,384.5545,212.3126,中,320.0,0.0,0.0,27.196,318.494,主时域0_2399
1044,区域C,平,689.11,0.0,0.5236,0.0,16.009259,1059.81,100.4751,0.0,959.3349,353.47,487.7886,387.3135,0.0,0.0,387.3135,202.7974,中,300.0,0.0,0.0,8.236,345.234,主时域0_2399
1044,区域D,平,442.27,344.97,0.3998,49.12,23.502038,1059.81,199.6122,0.0,680.1978,374.89,479.8592,280.247,0.0,180.0,100.247,112.0428,低,900.0,0.0,0.0,53.015,321.875,主时域0_2399
1044,区域E,平,390.84,304.86,0.2094,53.92,33.300395,1059.81,320.2875,0.0,519.5225,351.0,438.75,118.4625,0.0,220.0,-101.5375,24.806,低,820.0,0.0,0.0,53.92,297.08,主时域0_2399
1044,区域F,平,411.41,320.9,0.2475,99.4373333333,67.648378,1059.81,231.8106,0.0,607.9994,359.28,456.2856,224.475,0.0,220.0,4.475,55.5576,低,850.0,0.0,0.0,102.5173333333,256.762667,主时域0_2399
1045,区域A,平,740.56,0.0,0.5887,8.32,39.193122,1012.13,68.3245,0.0,943.8055,339.72,458.622,390.2975,0.0,0.0,390.2975,229.7681,中,350.0,0.0,0.0,26.6733333333,313.046667,主时域0_2399
1045,区域B,平,709.7,0.0,0.5507,18.288,31.139601,1012.13,81.8529,0.0,930.2771,338.767,457.3354,375.4825,0.0,0.0,375.4825,206.7782,中,320.0,0.0,0.0,24.6693333333,314.097667,主时域0_2399
1045,区域C,平,689.13,0.0,0.5222,0.0,17.623457,1012.13,95.9817,0.0,916.1483,332.82,459.2916,363.3099,0.0,0.0,363.3099,189.7204,中,300.0,0.0,0.0,9.0013333333,323.818667,主时域0_2399
1045,区域D,平,442.28,344.98,0.3988,34.3466666667,15.952219,1012.13,181.3244,0.0,650.8056,338.108,432.7782,251.4538,0.0,180.0,71.4538,100.2798,低,900.0,0.0,0.0,36.3616666667,301.746333,主时域0_2399
1045,区域E,平,390.85,304.86,0.2089,91.84,59.104084,1012.13,285.0768,0.0,507.0532,315.06,393.825,108.7482,0.0,220.0,-111.2518,22.7175,低,820.0,0.0,0.0,94.2533333333,220.806667,主时域0_2399
1045,区域F,平,411.42,320.91,0.2469,103.0133333333,70.521049,1012.13,214.2197,0.0,577.9103,335.98,426.6946,212.4749,0.0,220.0,-7.5251,52.4601,低,850.0,0.0,0.0,106.6333333333,229.346667,主时域0_2399
1046,区域A,平,740.57,0.0,0.5905,8.32,44.103175,950.0,63.6154,0.0,886.3846,314.15,424.1025,360.4871,0.0,0.0,360.4871,212.8676,低,350.0,0.0,0.0,29.3783333333,284.771667,主时域0_2399
1046,区域B,平,709.71,0.0,0.5524,28.7786666667,45.820513,950.0,76.5287,0.0,873.4713,314.933,425.1596,348.6309,0.0,0.0,348.6309,192.5837,低,320.0,0.0,0.0,37.1253333333,277.807667,主时域0_2399
1046,区域C,平,689.14,0.0,0.5238,0.0,15.061728,950.0,91.3838,0.0,858.6162,315.334,435.1609,343.7771,0.0,0.0,343.7771,180.0705,低,300.0,0.0,0.0,7.8363333333,307.497667,主时域0_2399
1046,区域D,平,442.28,344.98,0.4,36.0,15.548007,950.0,166.5646,0.0,603.4354,309.83,396.5824,230.0178,0.0,180.0,50.0178,92.0071,低,900.0,0.0,0.0,36.3866666667,273.443333,主时域0_2399
1046,区域E,平,390.85,304.86,0.2095,101.184,66.640316,950.0,271.1214,0.0,458.8786,307.27,384.0875,112.9661,0.0,220.0,-107.0339,23.6664,低,820.0,0.0,0.0,105.384,201.886,主时域0_2399
1046,区域F,平,411.43,320.92,0.2476,76.3066666667,53.925121,950.0,187.7441,0.0,542.2559,295.66,375.4882,187.7441,0.0,220.0,-32.2559,46.4854,低,850.0,0.0,0.0,80.5066666667,215.153333,主时域0_2399
1047,区域A,平,740.56,0.0,0.5955,8.32,42.822751,877.65,59.188,0.0,818.462,294.292,397.2942,338.1062,0.0,0.0,338.1062,201.3422,低,350.0,0.0,0.0,28.4826666667,265.809333,主时域0_2399
1047,区域B,平,709.7,0.0,0.5571,18.24,31.34188,877.65,71.0718,0.0,806.5782,294.147,397.0984,326.0266,0.0,0.0,326.0266,181.6294,低,320.0,0.0,0.0,24.904,269.243,主时域0_2399
