任务编号,任务类型,到达小时,图形处理器需求量,连续执行时长,延时敏感性,来源区域,最大网络时延,最晚完成小时,最早开工小时,执行模式
28774,实时推理任务,428,4,384,高,区域C,20,435,428,不可抢占
28775,人工智能训练任务,892,75,339,低,区域F,150,2406,892,不可抢占
28776,人工智能训练任务,1044,52,292,低,区域A,150,2406,1044,不可抢占
28777,实时推理任务,2344,7,271,高,区域A,20,2349,2344,不可抢占
28778,实时推理任务,53,1,38,高,区域A,20,54,53,不可抢占
28779,实时推理任务,1169,4,75,高,区域B,20,1171,1169,不可抢占
28780,人工智能训练任务,679,112,373,低,区域E,150,2406,679,不可抢占
28781,人工智能训练任务,1995,54,111,低,区域F,150,2406,1995,不可抢占
28782,人工智能训练任务,1400,60,178,低,区域F,150,2406,1400,不可抢占
28783,实时推理任务,830,2,71,高,区域A,20,832,830,不可抢占
28784,批量推理任务,1636,6,134,中,区域B,80,2406,1636,不可抢占
28785,人工智能训练任务,321,49,355,低,区域D,150,2406,321,不可抢占
28786,批量推理任务,284,21,183,中,区域C,80,2406,284,不可抢占
28787,实时推理任务,456,1,111,高,区域C,20,458,456,不可抢占
28788,批量推理任务,2014,23,180,中,区域E,80,2406,2014,不可抢占
28789,批量推理任务,18,13,175,中,区域A,80,2406,18,不可抢占
28790,人工智能训练任务,1674,53,258,低,区域D,150,2406,1674,不可抢占
28791,实时推理任务,363,4,114,高,区域A,20,365,363,不可抢占
28792,实时推理任务,1548,1,357,高,区域B,20,1554,1548,不可抢占
28793,批量推理任务,1299,19,91,中,区域D,80,2406,1299,不可抢占
28794,人工智能训练任务,1825,38,81,低,区域F,150,2406,1825,不可抢占
28795,人工智能训练任务,655,30,165,低,区域F,150,2406,655,不可抢占
28796,人工智能训练任务,1271,106,286,低,区域B,150,2406,1271,不可抢占
28797,实时推理任务,1513,4,65,高,区域A,20,1515,1513,不可抢占
28798,批量推理任务,1476,18,371,中,区域B,80,2406,1476,不可抢占
28799,人工智能训练任务,535,120,30,低,区域E,150,2406,535,不可抢占
28800,人工智能训练任务,895,29,116,低,区域E,150,2406,895,不可抢占
28801,人工智能训练任务,1350,85,37,低,区域F,150,2406,1350,不可抢占
28802,批量推理任务,170,20,111,中,区域F,80,2406,170,不可抢占
28803,人工智能训练任务,1231,82,298,低,区域C,150,2406,1231,不可抢占
28804,人工智能训练任务,1206,125,212,低,区域D,150,2406,1206,不可抢占
28805,人工智能训练任务,1379,107,235,低,区域D,150,2406,1379,不可抢占
28806,实时推理任务,952,6,277,高,区域B,20,957,952,不可抢占
28807,人工智能训练任务,2254,34,324,低,区域F,150,2406,2254,不可抢占
28808,批量推理任务,793,16,173,中,区域F,80,2406,793,不可抢占
28809,人工智能训练任务,813,101,231,低,区域B,150,2406,813,不可抢占
28810,人工智能训练任务,1039,19,93,低,区域D,150,2406,1039,不可抢占
28811,批量推理任务,1597,10,53,中,区域B,80,2406,1597,不可抢占
28812,人工智能训练任务,92,91,374,低,区域E,150,2406,92,不可抢占
28813,人工智能训练任务,490,96,245,低,区域E,150,2406,490,不可抢占
28814,批量推理任务,1205,23,126,中,区域E,80,2406,1205,不可抢占
28815,人工智能训练任务,2175,91,348,低,区域F,150,2406,2175,不可抢占
28816,批量推理任务,178,16,263,中,区域A,80,2406,178,不可抢占
28817,实时推理任务,1656,2,104,高,区域A,20,1658,1656,不可抢占
28818,批量推理任务,922,6,334,中,区域C,80,2406,922,不可抢占
28819,实时推理任务,2276,5,80,高,区域B,20,2278,2276,不可抢占
28820,人工智能训练任务,913,119,316,低,区域E,150,2406,913,不可抢占
28821,实时推理任务,1411,2,43,高,区域C,20,1412,1411,不可抢占
28822,人工智能训练任务,824,115,62,低,区域A,150,2406,824,不可抢占
28823,实时推理任务,1963,3,259,高,区域A,20,1968,1963,不可抢占
28824,实时推理任务,1909,3,189,高,区域A,20,1913,1909,不可抢占
28825,人工智能训练任务,427,21,310,低,区域D,150,2406,427,不可抢占
28826,人工智能训练任务,173,20,285,低,区域E,150,2406,173,不可抢占
28827,批量推理任务,2158,15,169,中,区域E,80,2406,2158,不可抢占
28828,人工智能训练任务,2032,34,322,低,区域F,150,2406,2032,不可抢占
28829,人工智能训练任务,1740,41,120,低,区域C,150,2406,1740,不可抢占
28830,实时推理任务,310,2,58,高,区域A,20,311,310,不可抢占
28831,批量推理任务,254,19,140,中,区域C,80,2406,254,不可抢占
28832,人工智能训练任务,925,98,262,低,区域E,150,2406,925,不可抢占
28833,实时推理任务,1135,6,118,高,区域C,20,1137,1135,不可抢占
28834,批量推理任务,288,23,107,中,区域E,80,2406,288,不可抢占
28835,实时推理任务,2161,3,51,高,区域A,20,2162,2161,不可抢占
28836,实时推理任务,1030,7,82,高,区域A,20,1032,1030,不可抢占
28837,批量推理任务,1119,20,183,中,区域B,80,2406,1119,不可抢占
28838,实时推理任务,2080,1,259,高,区域B,20,2085,2080,不可抢占
28839,实时推理任务,816,3,383,高,区域B,20,823,816,不可抢占
28840,批量推理任务,2294,8,82,中,区域E,80,2406,2294,不可抢占
28841,人工智能训练任务,442,29,341,低,区域F,150,2406,442,不可抢占
28842,批量推理任务,2012,10,268,中,区域A,80,2406,2012,不可抢占
28843,人工智能训练任务,1259,61,133,低,区域D,150,2406,1259,不可抢占
28844,实时推理任务,1433,6,396,高,区域B,20,1440,1433,不可抢占
28845,实时推理任务,1875,5,239,高,区域B,20,1879,1875,不可抢占
28846,批量推理任务,910,5,381,中,区域D,80,2406,910,不可抢占
28847,人工智能训练任务,544,61,100,低,区域F,150,2406,544,不可抢占
28848,实时推理任务,819,1,71,高,区域A,20,821,819,不可抢占
28849,人工智能训练任务,1456,61,74,低,区域D,150,2406,1456,不可抢占
28850,人工智能训练任务,243,108,309,低,区域D,150,2406,243,不可抢占
28851,人工智能训练任务,227,114,117,低,区域D,150,2406,227,不可抢占
28852,批量推理任务,2082,17,201,中,区域D,80,2406,2082,不可抢占
28853,批量推理任务,1831,8,253,中,区域E,80,2406,1831,不可抢占
28854,批量推理任务,1363,22,126,中,区域F,80,2406,1363,不可抢占
28855,批量推理任务,2,21,340,中,区域A,80,2406,2,不可抢占
28856,实时推理任务,1314,5,210,高,区域A,20,1318,1314,不可抢占
28857,实时推理任务,1305,3,79,高,区域B,20,1307,1305,不可抢占
28858,批量推理任务,1571,12,273,中,区域C,80,2406,1571,不可抢占
28859,人工智能训练任务,244,106,299,低,区域E,150,2406,244,不可抢占
28860,人工智能训练任务,900,103,334,低,区域F,150,2406,900,不可抢占
28861,批量推理任务,1852,13,31,中,区域F,80,2406,1852,不可抢占
28862,实时推理任务,889,4,168,高,区域A,20,892,889,不可抢占
28863,批量推理任务,278,9,272,中,区域B,80,2406,278,不可抢占
28864,批量推理任务,740,4,22,中,区域C,80,2406,740,不可抢占
28865,批量推理任务,1932,4,28,中,区域D,80,2406,1932,不可抢占
28866,批量推理任务,346,22,97,中,区域D,80,2406,346,不可抢占
28867,批量推理任务,381,8,325,中,区域F,80,2406,381,不可抢占
28868,批量推理任务,917,20,184,中,区域A,80,2406,917,不可抢占
28869,实时推理任务,1294,7,200,高,区域A,20,1298,1294,不可抢占
28870,批量推理任务,1702,10,246,中,区域B,80,2406,1702,不可抢占
28871,人工智能训练任务,263,87,369,低,区域E,150,2406,263,不可抢占
28872,人工智能训练任务,1127,31,351,低,区域E,150,2406,1127,不可抢占
28873,人工智能训练任务,640,90,50,低,区域F,150,2406,640,不可抢占
28874,人工智能训练任务,1083,75,67,低,区域F,150,2406,1083,不可抢占
28875,人工智能训练任务,991,117,213,低,区域C,150,2406,991,不可抢占
28876,批量推理任务,1235,11,67,中,区域B,80,2406,1235,不可抢占
28877,人工智能训练任务,1400,76,99,低,区域D,150,2406,1400,不可抢占
28878,实时推理任务,1817,3,288,高,区域B,20,1822,1817,不可抢占
28879,人工智能训练任务,663,92,125,低,区域E,150,2406,663,不可抢占
28880,人工智能训练任务,1841,43,397,低,区域F,150,2406,1841,不可抢占
28881,人工智能训练任务,1481,107,188,低,区域A,150,2406,1481,不可抢占
28882,人工智能训练任务,2029,25,317,低,区域D,150,2406,2029,不可抢占
28883,批量推理任务,831,11,283,中,区域B,80,2406,831,不可抢占
28884,实时推理任务,1584,2,177,高,区域B,20,1587,1584,不可抢占
28885,实时推理任务,1066,2,345,高,区域B,20,1072,1066,不可抢占
28886,批量推理任务,120,8,339,中,区域E,80,2406,120,不可抢占
28887,实时推理任务,2017,1,185,高,区域E,20,2021,2017,不可抢占
28888,人工智能训练任务,1044,31,363,低,区域B,150,2406,1044,不可抢占
28889,实时推理任务,1547,2,321,高,区域A,20,1553,1547,不可抢占
28890,批量推理任务,105,5,342,中,区域C,80,2406,105,不可抢占
28891,人工智能训练任务,246,63,216,低,区域E,150,2406,246,不可抢占
28892,实时推理任务,635,6,373,高,区域C,20,642,635,不可抢占
28893,批量推理任务,1688,13,286,中,区域E,80,2406,1688,不可抢占
28894,人工智能训练任务,2092,90,112,低,区域A,150,2406,2092,不可抢占
28895,实时推理任务,1351,7,262,高,区域A,20,1356,1351,不可抢占
28896,人工智能训练任务,1747,113,303,低,区域D,150,2406,1747,不可抢占
28897,实时推理任务,1827,2,305,高,区域B,20,1833,1827,不可抢占
28898,人工智能训练任务,1021,31,38,低,区域E,150,2406,1021,不可抢占
28899,人工智能训练任务,2280,124,198,低,区域F,150,2406,2280,不可抢占
28900,批量推理任务,1956,7,275,中,区域F,80,2406,1956,不可抢占
28901,批量推理任务,1566,18,181,中,区域A,80,2406,1566,不可抢占
28902,批量推理任务,1067,23,260,中,区域B,80,2406,1067,不可抢占
28903,实时推理任务,549,7,284,高,区域B,20,554,549,不可抢占
28904,实时推理任务,1219,6,161,高,区域B,20,1222,1219,不可抢占
28905,批量推理任务,497,14,264,中,区域D,80,2406,497,不可抢占
28906,批量推理任务,1411,7,375,中,区域E,80,2406,1411,不可抢占
28907,实时推理任务,791,5,111,高,区域F,20,793,791,不可抢占
28908,批量推理任务,1116,8,48,中,区域A,80,2406,1116,不可抢占
28909,人工智能训练任务,26,45,215,低,区域D,150,2406,26,不可抢占
28910,实时推理任务,2177,6,41,高,区域B,20,2178,2177,不可抢占
28911,人工智能训练任务,669,110,11,低,区域E,150,2406,669,不可抢占
28912,批量推理任务,1458,18,32,中,区域E,80,2406,1458,不可抢占
28913,人工智能训练任务,1767,21,227,低,区域F,150,2406,1767,不可抢占
28914,批量推理任务,740,12,81,中,区域A,80,2406,740,不可抢占
28915,人工智能训练任务,912,54,147,低,区域D,150,2406,912,不可抢占
28916,人工智能训练任务,1541,97,237,低,区域D,150,2406,1541,不可抢占
28917,批量推理任务,1482,12,340,中,区域C,80,2406,1482,不可抢占
28918,批量推理任务,732,15,266,中,区域D,80,2406,732,不可抢占
28919,批量推理任务,1514,11,10,中,区域E,80,2406,1514,不可抢占
28920,批量推理任务,1396,6,374,中,区域F,80,2406,1396,不可抢占
28921,人工智能训练任务,1058,76,185,低,区域C,150,2406,1058,不可抢占
28922,实时推理任务,959,7,374,高,区域A,20,966,959,不可抢占
28923,批量推理任务,2392,14,111,中,区域C,80,2406,2392,不可抢占
28924,人工智能训练任务,2089,46,320,低,区域E,150,2406,2089,不可抢占
28925,人工智能训练任务,1010,39,156,低,区域E,150,2406,1010,不可抢占
28926,人工智能训练任务,1838,111,367,低,区域F,150,2406,1838,不可抢占
28927,批量推理任务,1466,20,364,中,区域A,80,2406,1466,不可抢占
28928,批量推理任务,970,15,176,中,区域A,80,2406,970,不可抢占
28929,批量推理任务,1222,16,115,中,区域B,80,2406,1222,不可抢占
28930,人工智能训练任务,694,34,322,低,区域E,150,2406,694,不可抢占
28931,实时推理任务,201,4,244,高,区域C,20,206,201,不可抢占
28932,人工智能训练任务,1073,71,369,低,区域F,150,2406,1073,不可抢占
28933,批量推理任务,137,12,136,中,区域F,80,2406,137,不可抢占
28934,批量推理任务,1052,8,242,中,区域A,80,2406,1052,不可抢占
28935,批量推理任务,2027,7,245,中,区域B,80,2406,2027,不可抢占
28936,批量推理任务,1466,15,146,中,区域C,80,2406,1466,不可抢占
28937,人工智能训练任务,822,24,396,低,区域E,150,2406,822,不可抢占
28938,人工智能训练任务,45,92,239,低,区域E,150,2406,45,不可抢占
28939,实时推理任务,2302,2,168,高,区域C,20,2305,2302,不可抢占
28940,人工智能训练任务,1918,53,369,低,区域A,150,2406,1918,不可抢占
28941,批量推理任务,673,13,266,中,区域A,80,2406,673,不可抢占
28942,批量推理任务,255,8,359,中,区域B,80,2406,255,不可抢占
28943,批量推理任务,983,5,341,中,区域C,80,2406,983,不可抢占
28944,人工智能训练任务,2212,20,51,低,区域E,150,2406,2212,不可抢占
28945,批量推理任务,601,20,80,中,区域E,80,2406,601,不可抢占
28946,人工智能训练任务,1846,17,332,低,区域F,150,2406,1846,不可抢占
28947,实时推理任务,1446,4,377,高,区域A,20,1453,1446,不可抢占
28948,人工智能训练任务,2120,95,76,低,区域D,150,2406,2120,不可抢占
28949,实时推理任务,1111,1,223,高,区域B,20,1115,1111,不可抢占
28950,人工智能训练任务,1091,67,66,低,区域E,150,2406,1091,不可抢占
28951,实时推理任务,100,6,220,高,区域C,20,104,100,不可抢占
28952,实时推理任务,2387,7,123,高,区域C,20,2390,2387,不可抢占
28953,人工智能训练任务,1909,119,164,低,区域A,150,2406,1909,不可抢占
28954,人工智能训练任务,983,89,184,低,区域D,150,2406,983,不可抢占
28955,人工智能训练任务,1302,29,176,低,区域D,150,2406,1302,不可抢占
28956,批量推理任务,1107,15,47,中,区域C,80,2406,1107,不可抢占
28957,实时推理任务,1148,4,290,高,区域B,20,1153,1148,不可抢占
28958,实时推理任务,638,3,173,高,区域C,20,641,638,不可抢占
28959,人工智能训练任务,1063,18,335,低,区域F,150,2406,1063,不可抢占
28960,人工智能训练任务,30,102,336,低,区域B,150,2406,30,不可抢占
28961,批量推理任务,1737,18,248,中,区域B,80,2406,1737,不可抢占
28962,人工智能训练任务,2151,24,137,低,区域D,150,2406,2151,不可抢占
28963,批量推理任务,2285,23,329,中,区域C,80,2406,2285,不可抢占
28964,人工智能训练任务,191,124,312,低,区域E,150,2406,191,不可抢占
28965,人工智能训练任务,1848,90,307,低,区域F,150,2406,1848,不可抢占
28966,批量推理任务,816,20,17,中,区域F,80,2406,816,不可抢占
28967,批量推理任务,713,8,17,中,区域A,80,2406,713,不可抢占
28968,批量推理任务,678,18,137,中,区域B,80,2406,678,不可抢占
28969,批量推理任务,1798,14,242,中,区域C,80,2406,1798,不可抢占
28970,批量推理任务,424,5,153,中,区域D,80,2406,424,不可抢占
28971,实时推理任务,1437,7,361,高,区域C,20,1444,1437,不可抢占
28972,批量推理任务,2252,8,31,中,区域F,80,2406,2252,不可抢占
28973,批量推理任务,792,10,91,中,区域A,80,2406,792,不可抢占
28974,批量推理任务,2199,13,22,中,区域B,80,2406,2199,不可抢占
28975,实时推理任务,1398,2,391,高,区域B,20,1405,1398,不可抢占
28976,批量推理任务,502,18,104,中,区域C,80,2406,502,不可抢占
28977,批量推理任务,642,14,367,中,区域D,80,2406,642,不可抢占
28978,实时推理任务,2002,3,312,高,区域C,20,2008,2002,不可抢占
28979,实时推理任务,1548,4,352,高,区域F,20,1554,1548,不可抢占
28980,批量推理任务,351,20,95,中,区域A,80,2406,351,不可抢占
28981,实时推理任务,2160,6,218,高,区域A,20,2164,2160,不可抢占
28982,人工智能训练任务,2028,58,185,低,区域D,150,2406,2028,不可抢占
28983,实时推理任务,258,7,377,高,区域B,20,265,258,不可抢占
28984,批量推理任务,82,7,387,中,区域D,80,2406,82,不可抢占
28985,人工智能训练任务,882,96,346,低,区域F,150,2406,882,不可抢占
28986,实时推理任务,2331,3,348,高,区域A,20,2337,2331,不可抢占
28987,人工智能训练任务,480,118,261,低,区域D,150,2406,480,不可抢占
28988,批量推理任务,1741,18,163,中,区域B,80,2406,1741,不可抢占
28989,批量推理任务,492,6,345,中,区域C,80,2406,492,不可抢占
28990,批量推理任务,694,18,183,中,区域D,80,2406,694,不可抢占
28991,批量推理任务,1626,5,173,中,区域E,80,2406,1626,不可抢占
28992,人工智能训练任务,2234,60,360,低,区域F,150,2406,2234,不可抢占
28993,人工智能训练任务,2364,109,132,低,区域C,150,2406,2364,不可抢占
28994,人工智能训练任务,1767,52,149,低,区域D,150,2406,1767,不可抢占
28995,批量推理任务,1610,11,237,中,区域C,80,2406,1610,不可抢占
28996,实时推理任务,311,5,228,高,区域B,20,315,311,不可抢占
28997,人工智能训练任务,567,42,12,低,区域E,150,2406,567,不可抢占
28998,实时推理任务,1278,4,273,高,区域C,20,1283,1278,不可抢占
28999,批量推理任务,2332,16,210,中,区域A,80,2406,2332,不可抢占
29000,人工智能训练任务,742,35,221,低,区域D,150,2406,742,不可抢占
29001,实时推理任务,1055,5,78,高,区域A,20,1057,1055,不可抢占
29002,批量推理任务,1658,6,152,中,区域C,80,2406,1658,不可抢占
29003,人工智能训练任务,2261,32,257,低,区域E,150,2406,2261,不可抢占
29004,批量推理任务,1802,7,180,中,区域E,80,2406,1802,不可抢占
29005,实时推理任务,1867,2,215,高,区域E,20,1871,1867,不可抢占
29006,实时推理任务,1607,3,146,高,区域A,20,1610,1607,不可抢占
29007,批量推理任务,376,18,12,中,区域B,80,2406,376,不可抢占
29008,人工智能训练任务,1096,67,22,低,区域D,150,2406,1096,不可抢占
29009,人工智能训练任务,2337,17,272,低,区域E,150,2406,2337,不可抢占
29010,批量推理任务,1885,7,353,中,区域D,80,2406,1885,不可抢占
29011,人工智能训练任务,577,121,182,低,区域F,150,2406,577,不可抢占
29012,批量推理任务,1868,9,51,中,区域A,80,2406,1868,不可抢占
29013,人工智能训练任务,1517,32,349,低,区域D,150,2406,1517,不可抢占
29014,人工智能训练任务,706,84,364,低,区域D,150,2406,706,不可抢占
29015,实时推理任务,1292,1,63,高,区域B,20,1294,1292,不可抢占
29016,实时推理任务,2059,7,386,高,区域B,20,2066,2059,不可抢占
29017,实时推理任务,106,3,380,高,区域C,20,113,106,不可抢占
29018,人工智能训练任务,774,115,217,低,区域F,150,2406,774,不可抢占
29019,批量推理任务,287,19,170,中,区域A,80,2406,287,不可抢占
29020,实时推理任务,1808,2,288,高,区域A,20,1813,1808,不可抢占
29021,实时推理任务,1028,1,349,高,区域B,20,1034,1028,不可抢占
29022,批量推理任务,1103,18,258,中,区域C,80,2406,1103,不可抢占
29023,实时推理任务,1171,1,300,高,区域C,20,1176,1171,不可抢占
29024,批量推理任务,392,14,14,中,区域E,80,2406,392,不可抢占
29025,实时推理任务,1416,4,209,高,区域F,20,1420,1416,不可抢占
29026,批量推理任务,2121,14,147,中,区域A,80,2406,2121,不可抢占
29027,实时推理任务,740,3,387,高,区域A,20,747,740,不可抢占
29028,实时推理任务,2282,5,297,高,区域B,20,2287,2282,不可抢占
29029,实时推理任务,2317,3,291,高,区域B,20,2322,2317,不可抢占
29030,批量推理任务,345,6,330,中,区域D,80,2406,345,不可抢占
29031,批量推理任务,377,5,195,中,区域F,80,2406,377,不可抢占
29032,人工智能训练任务,7,21,55,低,区域B,150,2406,7,不可抢占
29033,批量推理任务,106,20,105,中,区域B,80,2406,106,不可抢占
29034,批量推理任务,1868,12,348,中,区域B,80,2406,1868,不可抢占
29035,批量推理任务,1750,5,345,中,区域C,80,2406,1750,不可抢占
29036,人工智能训练任务,808,95,315,低,区域E,150,2406,808,不可抢占
29037,实时推理任务,858,7,346,高,区域C,20,864,858,不可抢占
29038,实时推理任务,1602,1,365,高,区域E,20,1609,1602,不可抢占
29039,批量推理任务,1280,22,48,中,区域A,80,2406,1280,不可抢占
29040,实时推理任务,2267,3,114,高,区域A,20,2269,2267,不可抢占
29041,实时推理任务,791,3,265,高,区域B,20,796,791,不可抢占
29042,批量推理任务,1212,21,219,中,区域D,80,2406,1212,不可抢占
29043,实时推理任务,1428,5,144,高,区域C,20,1431,1428,不可抢占
29044,批量推理任务,33,8,111,中,区域F,80,2406,33,不可抢占
29045,实时推理任务,1477,1,366,高,区域A,20,1484,1477,不可抢占
29046,实时推理任务,995,5,152,高,区域A,20,998,995,不可抢占
29047,人工智能训练任务,716,32,268,低,区域D,150,2406,716,不可抢占
29048,人工智能训练任务,362,90,113,低,区域D,150,2406,362,不可抢占
29049,实时推理任务,410,1,143,高,区域B,20,413,410,不可抢占
29050,实时推理任务,1381,3,252,高,区域C,20,1386,1381,不可抢占
29051,批量推理任务,1652,10,22,中,区域F,80,2406,1652,不可抢占
29052,批量推理任务,1341,14,92,中,区域A,80,2406,1341,不可抢占
29053,人工智能训练任务,282,111,233,低,区域D,150,2406,282,不可抢占
29054,批量推理任务,2372,17,106,中,区域C,80,2406,2372,不可抢占
29055,人工智能训练任务,1467,80,136,低,区域E,150,2406,1467,不可抢占
29056,人工智能训练任务,1839,19,37,低,区域E,150,2406,1839,不可抢占
29057,批量推理任务,173,14,277,中,区域E,80,2406,173,不可抢占
29058,实时推理任务,390,3,235,高,区域A,20,394,390,不可抢占
29059,人工智能训练任务,1966,109,376,低,区域D,150,2406,1966,不可抢占
29060,实时推理任务,1476,6,85,高,区域A,20,1478,1476,不可抢占
29061,批量推理任务,2182,14,49,中,区域C,80,2406,2182,不可抢占
29062,人工智能训练任务,515,113,171,低,区域E,150,2406,515,不可抢占
29063,批量推理任务,2260,7,199,中,区域E,80,2406,2260,不可抢占
29064,实时推理任务,764,2,66,高,区域E,20,766,764,不可抢占
29065,实时推理任务,274,1,355,高,区域A,20,280,274,不可抢占
29066,批量推理任务,886,16,363,中,区域B,80,2406,886,不可抢占
29067,批量推理任务,1255,22,358,中,区域B,80,2406,1255,不可抢占
29068,批量推理任务,1590,14,101,中,区域C,80,2406,1590,不可抢占
29069,实时推理任务,1622,6,358,高,区域C,20,1628,1622,不可抢占
29070,批量推理任务,2090,23,48,中,区域E,80,2406,2090,不可抢占
29071,人工智能训练任务,943,48,296,低,区域F,150,2406,943,不可抢占
29072,批量推理任务,2050,19,187,中,区域A,80,2406,2050,不可抢占
29073,批量推理任务,963,22,197,中,区域B,80,2406,963,不可抢占
29074,批量推理任务,1230,12,323,中,区域C,80,2406,1230,不可抢占
29075,人工智能训练任务,1277,59,297,低,区域E,150,2406,1277,不可抢占
29076,人工智能训练任务,1267,74,90,低,区域F,150,2406,1267,不可抢占
29077,人工智能训练任务,2079,60,186,低,区域F,150,2406,2079,不可抢占
29078,实时推理任务,124,5,91,高,区域A,20,126,124,不可抢占
29079,人工智能训练任务,1653,49,98,低,区域D,150,2406,1653,不可抢占
29080,实时推理任务,541,4,372,高,区域B,20,548,541,不可抢占
29081,批量推理任务,1836,12,98,中,区域C,80,2406,1836,不可抢占
29082,实时推理任务,2312,7,58,高,区域C,20,2313,2312,不可抢占
29083,实时推理任务,111,2,398,高,区域C,20,118,111,不可抢占
29084,批量推理任务,94,19,358,中,区域F,80,2406,94,不可抢占
29085,批量推理任务,575,11,255,中,区域A,80,2406,575,不可抢占
29086,人工智能训练任务,1206,58,91,低,区域D,150,2406,1206,不可抢占
29087,实时推理任务,574,3,267,高,区域B,20,579,574,不可抢占
29088,实时推理任务,366,1,337,高,区域B,20,372,366,不可抢占
29089,人工智能训练任务,716,100,245,低,区域E,150,2406,716,不可抢占
29090,批量推理任务,1830,9,321,中,区域F,80,2406,1830,不可抢占
29091,批量推理任务,870,15,14,中,区域A,80,2406,870,不可抢占
29092,人工智能训练任务,1397,124,192,低,区域D,150,2406,1397,不可抢占
29093,实时推理任务,1764,7,337,高,区域B,20,1770,1764,不可抢占
29094,人工智能训练任务,1979,109,147,低,区域E,150,2406,1979,不可抢占
29095,人工智能训练任务,694,100,61,低,区域E,150,2406,694,不可抢占
29096,实时推理任务,2358,6,193,高,区域C,20,2362,2358,不可抢占
29097,人工智能训练任务,848,26,114,低,区域F,150,2406,848,不可抢占
29098,人工智能训练任务,1966,65,391,低,区域C,150,2406,1966,不可抢占
29099,实时推理任务,486,1,132,高,区域A,20,489,486,不可抢占
29100,实时推理任务,566,1,34,高,区域B,20,567,566,不可抢占
29101,实时推理任务,882,6,83,高,区域B,20,884,882,不可抢占
29102,人工智能训练任务,618,110,82,低,区域E,150,2406,618,不可抢占
29103,人工智能训练任务,2069,51,220,低,区域F,150,2406,2069,不可抢占
29104,实时推理任务,167,4,341,高,区域A,20,173,167,不可抢占
29105,实时推理任务,1511,2,29,高,区域A,20,1512,1511,不可抢占
29106,实时推理任务,1505,4,178,高,区域A,20,1508,1505,不可抢占
29107,人工智能训练任务,1431,125,334,低,区域D,150,2406,1431,不可抢占
29108,批量推理任务,2007,12,267,中,区域D,80,2406,2007,不可抢占
29109,批量推理任务,322,15,53,中,区域E,80,2406,322,不可抢占
29110,批量推理任务,2288,16,308,中,区域F,80,2406,2288,不可抢占
29111,实时推理任务,1590,7,389,高,区域A,20,1597,1590,不可抢占
29112,人工智能训练任务,141,79,277,低,区域D,150,2406,141,不可抢占
29113,实时推理任务,156,1,20,高,区域B,20,157,156,不可抢占
29114,批量推理任务,126,22,325,中,区域D,80,2406,126,不可抢占
29115,实时推理任务,1338,3,130,高,区域C,20,1341,1338,不可抢占
29116,人工智能训练任务,1106,42,73,低,区域F,150,2406,1106,不可抢占
29117,批量推理任务,2133,5,104,中,区域A,80,2406,2133,不可抢占
29118,实时推理任务,324,4,67,高,区域A,20,326,324,不可抢占
29119,人工智能训练任务,821,100,103,低,区域D,150,2406,821,不可抢占
29120,实时推理任务,1123,2,371,高,区域B,20,1130,1123,不可抢占
29121,实时推理任务,984,5,202,高,区域B,20,988,984,不可抢占
29122,批量推理任务,3,9,341,中,区域E,80,2406,3,不可抢占
29123,批量推理任务,2021,23,261,中,区域F,80,2406,2021,不可抢占
29124,批量推理任务,802,19,93,中,区域A,80,2406,802,不可抢占
29125,实时推理任务,419,3,164,高,区域A,20,422,419,不可抢占
29126,人工智能训练任务,441,113,95,低,区域D,150,2406,441,不可抢占
29127,实时推理任务,1409,6,90,高,区域B,20,1411,1409,不可抢占
29128,批量推理任务,2352,17,368,中,区域D,80,2406,2352,不可抢占
29129,批量推理任务,532,23,104,中,区域E,80,2406,532,不可抢占
29130,人工智能训练任务,335,120,201,低,区域F,150,2406,335,不可抢占
29131,人工智能训练任务,1941,57,52,低,区域C,150,2406,1941,不可抢占
29132,人工智能训练任务,441,47,244,低,区域D,150,2406,441,不可抢占
29133,人工智能训练任务,1552,106,392,低,区域D,150,2406,1552,不可抢占
29134,人工智能训练任务,193,76,310,低,区域E,150,2406,193,不可抢占
29135,人工智能训练任务,272,25,19,低,区域F,150,2406,272,不可抢占
29136,实时推理任务,1553,7,357,高,区域D,20,1559,1553,不可抢占
29137,批量推理任务,269,15,27,中,区域A,80,2406,269,不可抢占
29138,批量推理任务,1705,23,293,中,区域B,80,2406,1705,不可抢占
29139,批量推理任务,2330,14,279,中,区域B,80,2406,2330,不可抢占
29140,实时推理任务,74,6,211,高,区域B,20,78,74,不可抢占
29141,批量推理任务,2350,12,72,中,区域D,80,2406,2350,不可抢占
29142,批量推理任务,2220,11,351,中,区域E,80,2406,2220,不可抢占
29143,人工智能训练任务,835,39,399,低,区域F,150,2406,835,不可抢占
29144,批量推理任务,102,13,325,中,区域A,80,2406,102,不可抢占
29145,人工智能训练任务,111,90,25,低,区域D,150,2406,111,不可抢占
29146,实时推理任务,1722,6,201,高,区域B,20,1726,1722,不可抢占
29147,人工智能训练任务,55,100,343,低,区域E,150,2406,55,不可抢占
29148,实时推理任务,336,7,178,高,区域C,20,339,336,不可抢占
29149,批量推理任务,887,19,15,中,区域F,80,2406,887,不可抢占
29150,人工智能训练任务,1705,117,155,低,区域A,150,2406,1705,不可抢占
29151,实时推理任务,1576,3,237,高,区域A,20,1580,1576,不可抢占
29152,批量推理任务,861,22,356,中,区域B,80,2406,861,不可抢占
